"ID","NAME","EXTERNAL ID","DATA CENTER","STATUS"
"a990q0000008bbpAAA","ARSJD2D01.HQ","ARSJD2D01.HQ","","Item Updated"
"a990q0000008bbqAAA","ARSJDC01","ARSJDC01","","Item Updated"
"a990q0000008bbrAAA","ARSJDSDV01","ARSJDSDV01","St. John's 351 - Data Center","Item Updated"
"a990q0000008bbsAAA","ARSJFMCD01","ARSJFMCD01","St. John's 351 - Data Center","Item Updated"
"a990q0000008bbtAAA","ARSJHPC","ARSJHPC","","Item Updated"
"a990q0000008bbuAAA","ARSJHPC01","ARSJHPC01","","Item Updated"
"a990q0000008bbvAAA","ARSJHPC02","ARSJHPC02","","Item Updated"
"a990q0000008bbwAAA","ARSJHPC03","ARSJHPC03","","Item Updated"
"a990q0000008bbxAAA","ARSJHPC04","ARSJHPC04","","Item Updated"
"a990q0000008bbyAAA","ARSJHPC05","ARSJHPC05","","Item Updated"
"a990q0000008bbzAAA","ARSJHPC06","ARSJHPC06","","Item Updated"
"a990q0000008bc0AAA","ARSJHPIRS01","ARSJHPIRS01","","Item Updated"
"a990q0000008bc1AAA","ARSJIMSD01","ARSJIMSD01","St. John's 351 - Data Center","Item Updated"
"a990q0000008bc2AAA","ARSJIMSD03","ARSJIMSD03","St. John's 351 - Data Center","Item Updated"
"a990q0000008bc3AAA","ARSJLB02","ARSJLB02","St. John's 351 - Data Center","Item Updated"
"a990q0000008bc4AAA","ARSJLB03","ARSJLB03","St. John's 351 - Data Center","Item Updated"
"a990q0000008bc5AAA","ARSJLDCOPS","ARSJLDCOPS","","Item Updated"
"a990q0000008bc6AAA","ARSJLIC01","ARSJLIC01","","Item Updated"
"a990q0000008bc7AAA","ARSJLIC02","ARSJLIC02","","Item Updated"
"a990q0000008bc8AAA","ARSJLINUXBUILD","ARSJLINUXBUILD","St. John's 351 - Data Center","Item Updated"
"a990q0000008bc9AAA","ARSJLLDEV01","ARSJLLDEV01","","Item Updated"
"a990q0000008bcAAAQ","ARSJLLDEV02","ARSJLLDEV02","","Item Updated"
"a990q0000008bcBAAQ","ARSJLS01","ARSJLS01","St. John's 351 - Data Center","Item Updated"
"a990q0000008bcCAAQ","ARSJLS02","ARSJLS02","St. John's 351 - Data Center","Item Updated"
"a990q0000008bcDAAQ","ARSJLS03","ARSJLS03","St. John's 351 - Data Center","Item Updated"
"a990q0000008bcEAAQ","ARSJLS04","ARSJLS04","St. John's 351 - Data Center","Item Updated"
"a990q0000008bcFAAQ","ARSJLS05","ARSJLS05","St. John's 351 - Data Center","Item Updated"
"a990q0000008bcGAAQ","ARSJLS06","ARSJLS06","St. John's 351 - Data Center","Item Updated"
"a990q0000008bcHAAQ","ARSJLS07","ARSJLS07","St. John's 351 - Data Center","Item Updated"
"a990q0000008bcIAAQ","ARSJLS08","ARSJLS08","St. John's 351 - Data Center","Item Updated"
"a990q0000008bcJAAQ","ARSJLS09","ARSJLS09","St. John's 351 - Data Center","Item Updated"
