"ID","NAME","EXTERNAL ID","DATA CENTER","STATUS"
"a9K2a0000004CyjEAE","cvapl011.hq.huskyenergy.com","cvapl011.hq.huskyenergy.com","Rogers CoLo Data Center","Item Updated"
"a9K2a0000004CykEAE","cvapl012.hq.huskyenergy.com","cvapl012.hq.huskyenergy.com","","Item Updated"
"a9K2a0000004CylEAE","cvapl013.hq.huskyenergy.com","cvapl013.hq.huskyenergy.com","","Item Updated"
"a9K2a0000004CymEAE","cvapl014.hq.huskyenergy.com","cvapl014.hq.huskyenergy.com","","Item Updated"
"a9K2a0000004CynEAE","cvapl015.hq.huskyenergy.com","cvapl015.hq.huskyenergy.com","WCP Data Center","Item Updated"
"a9K2a0000004CyoEAE","cvapl016.hq.huskyenergy.com","cvapl016.hq.huskyenergy.com","WCP Data Center","Item Updated"
"a9K2a0000004CypEAE","cvapl017.hq.huskyenergy.com","cvapl017.hq.huskyenergy.com","","Item Updated"
"a9K2a0000004CyqEAE","cvapl018.hq.huskyenergy.com","cvapl018.hq.huskyenergy.com","","Item Updated"
"a9K2a0000004CyrEAE","cvapl019.hq.huskyenergy.com","cvapl019.hq.huskyenergy.com","","Item Updated"
"a9K2a0000004CysEAE","cvapl020.hq.huskyenergy.com","cvapl020.hq.huskyenergy.com","Rogers CoLo Data Center","Item Updated"
"a9K2a0000004CytEAE","cvapl021","cvapl021","Rogers CoLo Data Center","Item Updated"
"a9K2a0000004CyuEAE","cvapl022","cvapl022","","Item Updated"
"a9K2a0000004CyvEAE","cvapl034","cvapl034","","Item Updated"
"a9K2a0000004CywEAE","cvapl035","cvapl035","","Item Updated"
"a9K2a0000004CyxEAE","CVS001.HQ","CVS001.HQ","","Item Updated"
"a9K2a0000004CyyEAE","CVS002.HQ","CVS002.HQ","","Item Updated"
"a9K2a0000004CyzEAE","cvs033","cvs033","","Item Updated"
"a9K2a0000004Cz0EAE","cvs034","cvs034","","Item Updated"
"a9K2a0000004Cz1EAE","cvs035","cvs035","","Item Updated"
"a9K2a0000004Cz2EAE","cvs036","cvs036","","Item Updated"
"a9K2a0000004Cz3EAE","cvs038","cvs038","","Item Updated"
"a9K2a0000004Cz4EAE","cvs039","cvs039","","Item Updated"
"a9K2a0000004Cz5EAE","cvs040","cvs040","","Item Updated"
"a9K2a0000004Cz6EAE","cvs042","cvs042","","Item Updated"
"a9K2a0000004Cz7EAE","cvs043","cvs043","","Item Updated"
"a9K2a0000004Cz8EAE","cvs044","cvs044","","Item Updated"
"a9K2a0000004Cz9EAE","cvs045","cvs045","","Item Updated"
"a9K2a0000004CzAEAU","cvs047","cvs047","","Item Updated"
"a9K2a0000004CzBEAU","cvs048","cvs048","","Item Updated"
"a9K2a0000004CzCEAU","cvs049","cvs049","","Item Updated"
"a9K2a0000004CzDEAU","cvs050","cvs050","","Item Updated"
"a9K2a0000004CzEEAU","cvs051","cvs051","","Item Updated"
