"NAME","EXTERNAL ID","DATA CENTER","ERROR"
"CLS243","CLS243","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls243
Error fields: External_Id__c "
"CLS243","CLS243","","DUPLICATE_VALUE:Duplicate external id specified: cls243
Error fields: External_Id__c "
"CLS244","CLS244","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls244
Error fields: External_Id__c "
"CLS244","CLS244","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls244
Error fields: External_Id__c "
"CLS245","CLS245","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls245
Error fields: External_Id__c "
"CLS245","CLS245","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls245
Error fields: External_Id__c "
"CLS250","CLS250","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls250
Error fields: External_Id__c "
"CLS250","CLS250","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls250
Error fields: External_Id__c "
"CLS264","CLS264","","DUPLICATE_VALUE:Duplicate external id specified: cls264
Error fields: External_Id__c "
"CLS264","CLS264","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls264
Error fields: External_Id__c "
"CLS3005","CLS3005","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls3005
Error fields: External_Id__c "
"CLS3005","CLS3005","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls3005
Error fields: External_Id__c "
"CLS3014","CLS3014","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls3014
Error fields: External_Id__c "
"CLS3014","CLS3014","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls3014
Error fields: External_Id__c "
"cls3015","cls3015","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls3015
Error fields: External_Id__c "
"CLS3015","CLS3015","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls3015
Error fields: External_Id__c "
"CLS3016","CLS3016","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls3016
Error fields: External_Id__c "
"CLS3016","CLS3016","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls3016
Error fields: External_Id__c "
"cls3017","cls3017","","DUPLICATE_VALUE:Duplicate external id specified: cls3017
Error fields: External_Id__c "
"CLS3017","CLS3017","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls3017
Error fields: External_Id__c "
"cls3022","cls3022","","DUPLICATE_VALUE:Duplicate external id specified: cls3022
Error fields: External_Id__c "
"cls3022","cls3022","","DUPLICATE_VALUE:Duplicate external id specified: cls3022
Error fields: External_Id__c "
"cls3040","cls3040","","DUPLICATE_VALUE:Duplicate external id specified: cls3040
Error fields: External_Id__c "
"cls3040","cls3040","","DUPLICATE_VALUE:Duplicate external id specified: cls3040
Error fields: External_Id__c "
"CLS3045","CLS3045","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls3045
Error fields: External_Id__c "
"CLS3045","CLS3045","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls3045
Error fields: External_Id__c "
"CLS306","CLS306","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls306
Error fields: External_Id__c "
"CLS306","CLS306","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls306
Error fields: External_Id__c "
"CLS320","CLS320","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls320
Error fields: External_Id__c "
"CLS320","CLS320","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls320
Error fields: External_Id__c "
"cls331","cls331","","DUPLICATE_VALUE:Duplicate external id specified: cls331
Error fields: External_Id__c "
"cls331","cls331","","DUPLICATE_VALUE:Duplicate external id specified: cls331
Error fields: External_Id__c "
"CLS335","CLS335","Rogers CoLo Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls335
Error fields: External_Id__c "
