ruledefaultname,monitorInstance,time,minvalue,avgvalue,maxvalue,server,serverid,metric,type,external id,unit
Processor Information % Processor Time Total Windows Server 2008 R2,_Total,2017-11-10T12:00:00Z,10.73585129,25.66904488,48.21584702,ARSJBES01.hq.huskyenergy.com,ARSJBES01,CPU Utilization,Baseline,ARSJBES01.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor Information % Processor Time Total Windows Server 2008 R2,_Total,2017-11-10T12:00:00Z,5.289561272,31.55951881,65.48527527,BTL09032605.hq.huskyenergy.com,BTL09032605,CPU Utilization,Baseline,BTL09032605.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor Information % Processor Time Total Windows Server 2008 R2,_Total,2017-11-10T12:00:00Z,90.92948151,94.43069712,99.3487854,CDSXCHM001PD,CDSXCHM001PD,CPU Utilization,Baseline,CDSXCHM001PD-CPU Utilization-_Total-Baseline,%
Processor Information % Processor Time Total Windows Server 2008 R2,_Total,2017-11-10T12:00:00Z,7.996746063,33.56314135,71.94404602,CGAAPP1018PD.hq.huskyenergy.com,CGAAPP1018PD,CPU Utilization,Baseline,CGAAPP1018PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor Information % Processor Time Total Windows Server 2008 R2,_Total,2017-11-10T12:00:00Z,5.42409277,5.42409277,5.42409277,CGCAPP469PD.hq.huskyenergy.com,CGCAPP469PD,CPU Utilization,Baseline,CGCAPP469PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor Information % Processor Time Total Windows Server 2008 R2,_Total,2017-11-10T12:00:00Z,5.856636047,61.97426283,97.30245972,CGCAPP589PD.hq.huskyenergy.com,CGCAPP589PD,CPU Utilization,Baseline,CGCAPP589PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor Information % Processor Time Total Windows Server 2008 R2,_Total,2017-11-10T12:00:00Z,9.118997574,15.79726315,53.79637909,CGCAPP916PD.hq.huskyenergy.com,CGCAPP916PD,CPU Utilization,Baseline,CGCAPP916PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor Information % Processor Time Total Windows Server 2008 R2,_Total,2017-11-10T12:00:00Z,13.06956291,40.40324402,60.51904678,CGCLFA325PD.hq.huskyenergy.com,CGCLFA325PD,CPU Utilization,Baseline,CGCLFA325PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor Information % Processor Time Total Windows Server 2008 R2,_Total,2017-11-10T12:00:00Z,67.66736603,67.78318024,69.76345062,CGCLFC327PD.hq.huskyenergy.com,CGCLFC327PD,CPU Utilization,Baseline,CGCLFC327PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor Information % Processor Time Total Windows Server 2008 R2,_Total,2017-11-10T12:00:00Z,10.61912441,23.42733558,31.94010162,CGCLSA328PD.hq.huskyenergy.com,CGCLSA328PD,CPU Utilization,Baseline,CGCLSA328PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor Information % Processor Time Total Windows Server 2008 R2,_Total,2017-11-10T12:00:00Z,25.88049507,33.25404531,50.84651184,CGCNWR382PD.hq.huskyenergy.com,CGCNWR382PD,CPU Utilization,Baseline,CGCNWR382PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor Information % Processor Time Total Windows Server 2008 R2,_Total,2017-11-10T12:00:00Z,22.1393013,42.9047895,88.25706482,CGCSQL294PD.hq.huskyenergy.com,CGCSQL294PD,CPU Utilization,Baseline,CGCSQL294PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor Information % Processor Time Total Windows Server 2008 R2,_Total,2017-11-10T12:00:00Z,45.5833931,65.46725559,98.49227905,CGCSQL412PD.hq.huskyenergy.com,CGCSQL412PD,CPU Utilization,Baseline,CGCSQL412PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
