"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","SUM(WBT.PRORATED_OIL)","MAX(WBT.PRODUCTION_DATE)","STATUS"
"a8k16000000g0JnAAI","1D0070504606W400","N","0.0233","2.37","08-MAY-18","Item Updated"
"a8k16000000g0aQAAQ","1D0063304506W400","N","0.00051","11.13","08-MAY-18","Item Updated"
"a8k16000000g0N8AAI","1D0062304506W400","N","0.01467","14.21","08-MAY-18","Item Updated"
"a8k16000000g0mgAAA","1D0062104506W400","N","0.07581","3.97","08-MAY-18","Item Updated"
"a8k16000000g07TAAQ","1D0061904704W400","N","0.08043","6.42","08-MAY-18","Item Updated"
"a8k16000000g0VWAAY","1D0061704606W400","N","0.00078","9.07","08-MAY-18","Item Updated"
"a8k16000000g0rsAAA","1D0053304506W400","N","0.07469","10.86","08-MAY-18","Item Updated"
"a8k16000000fzvKAAQ","1D0053204506W400","N","0.00393","6.24","08-MAY-18","Item Updated"
"a8k16000000g0UyAAI","1D0053004704W400","N","0.08039","17.43","08-MAY-18","Item Updated"
"a8k16000000g0AoAAI","1D0053004506W400","N","0.03093","8.36","08-MAY-18","Item Updated"
"a8k16000000g0h8AAA","1D0052804506W400","N","0.04173","5.44","08-MAY-18","Item Updated"
"a8k16000000g0EnAAI","1D0052704506W400","N","0.03167","5.23","08-MAY-18","Item Updated"
"a8k16000000g0N1AAI","1D0052204506W400","N","0.0897","6.42","08-MAY-18","Item Updated"
"a8k16000000g00EAAQ","1D0051404506W400","N","0.01701","9.03","08-MAY-18","Item Updated"
"a8k16000000g0MiAAI","1D0050904606W400","N","0.0036","14.21","08-MAY-18","Item Updated"
"a8k16000000g0AnAAI","1D0043004506W400","N","0.01243","8.83","08-MAY-18","Item Updated"
"a8k16000000g0DWAAY","1D0042704506W400","N","0.0244","1.96","08-MAY-18","Item Updated"
"a8k16000000g0MzAAI","1D0042204506W400","N","0.03564","13.34","08-MAY-18","Item Updated"
"a8k16000000g0mcAAA","1D0042104506W400","N","0.05805","5.68","08-MAY-18","Item Updated"
"a8k16000000g0gxAAA","1D0042004506W400","N","0.1011","0.18","08-MAY-18","Item Updated"
