"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","TRUCKED_OIL","MTD_DATE","STATUS"
"a8k16000000fxYqAAI","191022005125W302","Y","0","0","10-MAY-18","Item Updated"
"a8k16000000fxpoAAA","111130905025W300","Y","0.08152","4.27727272727272727272727272727272727273","10-MAY-18","Item Updated"
"a8k16000000fxiRAAQ","111051905024W303","Y","0.14775","5.18727272727272727272727272727272727273","10-MAY-18","Item Updated"
"a8k16000000fyQkAAI","111023505126W302","Y","0.12359","0","09-MAY-18","Item Updated"
"a8k16000000fyIAAAY","111102905125W302","Y","0.52123","2","09-MAY-18","Item Updated"
"a8k16000000fyICAAY","111112905125W302","Y","0","1.11272727272727272727272727272727272727","10-MAY-18","Item Updated"
"a8k16000000fzgdAAA","111032505020W300","Y","0","1.54181818181818181818181818181818181818","10-MAY-18","Item Updated"
"a8k16000000fyGPAAY","111101004821W300","Y","0.06609","1.27090909090909090909090909090909090909","09-MAY-18","Item Updated"
"a8k16000000fxeBAAQ","111101304822W302","Y","0.20683","3.69363636363636363636363636363636363636","10-MAY-18","Item Updated"
"a8k16000000fyOVAAY","111121704821W303","Y","0.14901","3.25454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000fyWhAAI","111130104822W300","Y","0.203","0","10-MAY-18","Item Updated"
"a8k16000000fz0WAAQ","111123504821W300","Y","0.0579","1.87727272727272727272727272727272727273","09-MAY-18","Item Updated"
"a8k16000000fySaAAI","111070704922W300","Y","0.05659","2.94909090909090909090909090909090909091","09-MAY-18","Item Updated"
"a8k16000000fzEIAAY","101062304826W300","Y","0.11563","0","09-MAY-18","Item Updated"
"a8k16000000fxleAAA","131140505025W302","Y","0.2223","0","09-MAY-18","Item Updated"
"a8k16000000fxZpAAI","131073404822W300","Y","0.03266","0","09-MAY-18","Item Updated"
"a8k16000000fyVKAAY","111031805125W300","Y","0.30338","0","02-MAY-18","Item Updated"
"a8k16000000fxlbAAA","132130505025W302","Y","0","0","10-MAY-18","Item Updated"
"a8k16000000fz9CAAQ","111090705120W300","Y","0.15093","1.83545454545454545454545454545454545455","09-MAY-18","Item Updated"
"a8k16000000fzooAAA","111101604726W300","Y","0.4323","0","10-MAY-18","Item Updated"
"a8k16000000fyZBAAY","102092505107W400","Y","0.04455","0","10-MAY-18","Item Updated"
"a8k16000000g0oaAAA","131022404828W303","Y","0.358","0","10-MAY-18","Item Updated"
"a8k16000000fyxoAAA","100101205301W400","Y","0.15024","4.44363636363636363636363636363636363636","10-MAY-18","Item Updated"
"a8k16000000fz5OAAQ","101050805223W300","Y","0.13238","0","10-MAY-18","Item Updated"
"a8k16000000fxsQAAQ","121080404924W304","Y","0.0023","0","09-MAY-18","Item Updated"
"a8k16000000fzRfAAI","111042705123W303","Y","0","0","10-MAY-18","Item Updated"
"a8k16000000fxyLAAQ","111022105025W300","Y","0.87292","0","09-MAY-18","Item Updated"
"a8k16000000fxddAAA","101040204924W300","Y","0","0","10-MAY-18","Item Updated"
"a8k16000000fylfAAA","100063505306W400","Y","0.16552","1.98818181818181818181818181818181818182","09-MAY-18","Item Updated"
"a8k16000000fyQRAAY","111131005024W302","Y","0","2.25272727272727272727272727272727272727","09-MAY-18","Item Updated"
"a8k16000000fyRpAAI","112102704822W302","Y","0.1223","1.83","09-MAY-18","Item Updated"
"a8k16000000fzfLAAQ","131063004820W300","Y","0.0023","3.27545454545454545454545454545454545455","10-MAY-18","Item Updated"
"a8k16000000fyz9AAA","102141005101W400","Y","0.16008","1.85818181818181818181818181818181818182","09-MAY-18","Item Updated"
"a8k16000000fyjWAAQ","102031005001W400","Y","0.23134","2.19363636363636363636363636363636363636","09-MAY-18","Item Updated"
"a8k16000000fxfYAAQ","111140905225W300","Y","0.54034","0","09-MAY-18","Item Updated"
"a8k16000000fyzdAAA","100141105003W400","Y","0","0","10-MAY-18","Item Updated"
"a8k16000000fy3bAAA","112090205123W300","Y","0.0423","1.91818181818181818181818181818181818182","10-MAY-18","Item Updated"
"a8k16000000fyN5AAI","102060104924W300","Y","0.0023","0","10-MAY-18","Item Updated"
"a8k16000000fzo4AAA","111091104627W300","Y","0.30541","1.25","09-MAY-18","Item Updated"
"a8k16000000fzIYAAY","111163105122W300","Y","0.11812","0","10-MAY-18","Item Updated"
"a8k16000000fyfmAAA","100102305406W400","Y","0.11158","0","10-MAY-18","Item Updated"
"a8k16000000fzzWAAQ","141071604627W300","Y","0.20944","2.74454545454545454545454545454545454545","10-MAY-18","Item Updated"
"a8k16000000g0e0AAA","100122305003W400","Y","0.27467","0","10-MAY-18","Item Updated"
"a8k16000000g0kkAAA","108052105207W400","Y","0.0423","7.42545454545454545454545454545454545455","09-MAY-18","Item Updated"
"a8k16000000g0kiAAA","106052105207W400","Y","0.03704","9.64636363636363636363636363636363636364","10-MAY-18","Item Updated"
"a8k16000000g0evAAA","103141605207W400","Y","0.04452","2.26454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000fyUbAAI","111031505024W302","Y","0.4623","0","09-MAY-18","Item Updated"
"a8k16000000fzx6AAA","100132504606W400","Y","0.09","0","10-MAY-18","Item Updated"
"a8k16000000fyarAAA","100042106404W400","Y","0.008","0","10-MAY-18","Item Updated"
"a8k16000000fyI5AAI","111072905125W303","Y","0.356","3.75454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000g0R2AAI","102101904401W400","Y","0.00333","0","10-MAY-18","Item Updated"
"a8k16000000fyL4AAI","141080204928W300","Y","0.3881","0","09-MAY-18","Item Updated"
"a8k16000000g0WDAAY","111162504925W302","Y","0","8.55454545454545454545454545454545454545","10-MAY-18","Item Updated"
"a8k16000000fyiyAAA","100130105306W400","Y","1.17467","0","10-MAY-18","Item Updated"
"a8k16000000fy54AAA","111050404927W300","Y","0.37509","0.8654545454545454545454545454545454545455","09-MAY-18","Item Updated"
"a8k16000000g0XuAAI","101103204322W302","Y","0.26772","0","09-MAY-18","Item Updated"
"a8k16000000g0PJAAY","101122004427W300","Y","0.56384","0","09-MAY-18","Item Updated"
"a8k16000000fyLvAAI","111130505124W303","Y","0","12.09","10-MAY-18","Item Updated"
"a8k16000000g0e2AAA","102142305003W400","Y","0.29159","0","10-MAY-18","Item Updated"
"a8k16000000g0LxAAI","111011504427W300","Y","0.13636","1.91818181818181818181818181818181818182","09-MAY-18","Item Updated"
"a8k16000000fzkQAAQ","111031304626W303","Y","0.73352","0","09-MAY-18","Item Updated"
"a8k16000000fzMzAAI","111040304524W300","Y","0.03981","0","09-MAY-18","Item Updated"
"a8k16000000fxp7AAA","111061504922W302","Y","0.17256","1.58909090909090909090909090909090909091","10-MAY-18","Item Updated"
