"WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","SUM(WBT.PRORATED_OIL)","MAX(WBT.PRODUCTION_DATE)","ERROR"
"117022806404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"116163206404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"116162906404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"116133206404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"116123206404W400","N","0.04982","31.94","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"116122906404W400","N","0.03564","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"116072806404W400","N","0.04982","844.44","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"116052906404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"116042906404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"116022806404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"115163206404W400","N","0.04982","436.78","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"115162906404W400","N","0.04982","156.54","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"115133206404W400","N","0.04982","703.47","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"115123206404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"115122906404W400","N","0.03564","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"115072806404W400","N","0.04982","390.88","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"115053206404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"115052906404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"115042906404W400","N","0.04982","6.37","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"115022806404W400","N","0.04982","650.66","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"114163206404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"114162906404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"114161706404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"114133206404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"114132906404W400","N","0.03564","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"114123206404W402","N","0.04982","18.53","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"114072806404W400","N","0.04982","431.29","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"114053206404W400","N","0.04982","95.81","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"114052906404W400","N","0.04982","300.78","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"114042906404W400","N","0.04982","6.37","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"114022806404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"113163206404W400","N","0.04982","745.12","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"113162906404W400","N","0.04982","208.78","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"113161706404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"113150105128W302","N","0","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"113133206404W400","N","0.04982","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"113132906404W400","N","0.03564","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
