"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","SUM(DBT.TICKET_SHIPMENT_OIL)","MAX(DBT.PRODUCTION_DATE)","STATUS"
"a8k16000000g1n5AAA","102042305006W400","Y","0","23.17","08-MAY-18","Item Updated"
"a8k16000000fylUAAQ","102043105306W400","Y","0.333","0","09-MAY-18","Item Updated"
"a8k16000000g1JQAAY","102050704902W400","Y","0.25563","19.83","09-MAY-18","Item Updated"
"a8k1L000000Kyl3QAC","102050705203W400","Y","0.01532","99.72","08-MAY-18","Item Updated"
"a8k16000000fykcAAA","102051405005W400","Y","0.17348","36.28","09-MAY-18","Item Updated"
"a8k16000000g0bgAAA","102051904804W400","Y","0.0921","0","09-MAY-18","Item Updated"
"a8k16000000fye8AAA","102052305406W400","Y","0.308","80.04","08-MAY-18","Item Updated"
"a8k16000000g1qqAAA","102053104805W400","Y","0.05023","254.32","09-MAY-18","Item Updated"
"a8k16000000g1JlAAI","102053105306W402","Y","0.07097","0","08-MAY-18","Item Updated"
"a8k16000000fyhnAAA","102053504802W400","Y","0.25014","28.67","08-MAY-18","Item Updated"
"a8k16000000fyN5AAI","102060104924W300","Y","0.0023","0","09-MAY-18","Item Updated"
"a8k16000000fyjqAAA","102061005207W400","Y","0.14606","0","09-MAY-18","Item Updated"
"a8k16000000g0eiAAA","102061505207W400","Y","0.19904","44.72","08-MAY-18","Item Updated"
"a8k16000000g1rwAAA","102062205406W400","Y","0.11457","0","09-MAY-18","Item Updated"
"a8k16000000fyeBAAQ","102062305406W400","Y","0.0623","0","09-MAY-18","Item Updated"
"a8k16000000g1o3AAA","102062906404W400","Y","0.1373","39.57","08-MAY-18","Item Updated"
"a8k16000000g1CxAAI","102063005001W403","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000fylaAAA","102063105306W400","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000g1EzAAI","102063304802W400","Y","0.14507","48.42","09-MAY-18","Item Updated"
"a8k16000000g102AAA","102070105207W400","Y","0.13825","0","08-MAY-18","Item Updated"
"a8k16000000g1JrAAI","102070205207W400","Y","0.08149","0","08-MAY-18","Item Updated"
"a8k16000000fymcAAA","102070305006W400","Y","0.1523","0","08-MAY-18","Item Updated"
"a8k16000000fynBAAQ","102070405201W400","Y","0.1","0","09-MAY-18","Item Updated"
"a8k16000000g0vuAAA","102070504902W400","Y","0.075","0","09-MAY-18","Item Updated"
"a8k16000000fzuxAAA","102072105405W400","Y","0.06334","28.17","08-MAY-18","Item Updated"
"a8k16000000g1LUAAY","102072205406W400","Y","0.12821","0","09-MAY-18","Item Updated"
"a8k16000000fyfiAAA","102072305406W400","Y","0.03465","45.64","08-MAY-18","Item Updated"
"a8k16000000fyoJAAQ","102073005001W400","Y","0.12739","41.07","09-MAY-18","Item Updated"
"a8k16000000fyx6AAA","102073605107W400","Y","0.2599","30.95","09-MAY-18","Item Updated"
"a8k16000000fzusAAA","102073605205W400","Y","0.0023","0","09-MAY-18","Item Updated"
"a8k16000000g1x9AAA","102081205204W400","Y","0.16868","7.32","08-MAY-18","Item Updated"
"a8k16000000g0w3AAA","102081505005W400","Y","0.00517","43.27","08-MAY-18","Item Updated"
"a8k16000000g0bmAAA","102081904804W400","Y","0.00892","0","09-MAY-18","Item Updated"
"a8k16000000g1rmAAA","102082105305W400","Y","0.3023","0","09-MAY-18","Item Updated"
"a8k16000000g01QAAQ","102082204706W400","Y","0.008","0","01-MAY-18","Item Updated"
"a8k16000000g1M3AAI","102082205406W400","Y","0.0602","21.92","08-MAY-18","Item Updated"
"a8k16000000g10iAAA","102083305101W400","Y","0.16897","0","08-MAY-18","Item Updated"
"a8k16000000g1mKAAQ","102083504701W402","Y","0.0023","0","09-MAY-18","Item Updated"
"a8k16000000g1uJAAQ","102083504802W402","Y","0.5663","27.12","08-MAY-18","Item Updated"
"a8k1L000000KykQQAS","102083504806W400","Y","0.02059","71.83","08-MAY-18","Item Updated"
"a8k16000000g0wUAAQ","102083505107W400","Y","0.0023","0","09-MAY-18","Item Updated"
"a8k16000000fyknAAA","102090504902W400","Y","0.07573","26.8","08-MAY-18","Item Updated"
"a8k16000000fyyfAAA","102090904902W400","Y","0.92479","53.75","08-MAY-18","Item Updated"
"a8k16000000g1f9AAA","102091104705W400","Y","0.47601","22.57","08-MAY-18","Item Updated"
"a8k16000000fylkAAA","102091505005W400","Y","0.11955","0","09-MAY-18","Item Updated"
"a8k16000000fyZBAAY","102092505107W400","Y","0.04455","0","09-MAY-18","Item Updated"
"a8k16000000g210AAA","102092505307W402","Y","0.04106","131.16","08-MAY-18","Item Updated"
"a8k16000000g0BZAAY","102093504701W400","Y","0.12957","22.37","08-MAY-18","Item Updated"
"a8k16000000g0w0AAA","102093505107W400","Y","0","0","08-MAY-18","Item Updated"
"a8k16000000g1AqAAI","102093605105W402","Y","0.23977","0","09-MAY-18","Item Updated"
"a8k16000000fyyjAAA","102100904902W400","Y","2.038","27","08-MAY-18","Item Updated"
"a8k16000000fyjsAAA","102101005207W400","Y","0.10685","0","09-MAY-18","Item Updated"
"a8k16000000fzxXAAQ","102101704601W400","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000g0R2AAI","102101904401W400","Y","0.00333","0","09-MAY-18","Item Updated"
"a8k16000000g0bsAAA","102101904804W400","Y","0.1663","0","08-MAY-18","Item Updated"
"a8k16000000fzv0AAA","102102105405W400","Y","0.0633","52.24","08-MAY-18","Item Updated"
"a8k16000000g1FFAAY","102102205207W400","Y","0.19909","0","08-MAY-18","Item Updated"
"a8k16000000fycRAAQ","102102205406W400","Y","0.3875","0","09-MAY-18","Item Updated"
"a8k16000000g1F0AAI","102102304806W400","Y","0.08303","0","09-MAY-18","Item Updated"
"a8k16000000g01iAAA","102102804701W400","Y","0.16668","39.5","09-MAY-18","Item Updated"
"a8k16000000g1nLAAQ","102103505005W400","Y","0.07006","14.99","09-MAY-18","Item Updated"
"a8k16000000g1sFAAQ","102110704902W400","Y","0.008","25.24","08-MAY-18","Item Updated"
"a8k16000000fyYNAAY","102110904902W400","Y","0.1943","0","09-MAY-18","Item Updated"
"a8k16000000g0yDAAQ","102111004903W402","Y","0.0023","88.83","09-MAY-18","Item Updated"
"a8k16000000g0YnAAI","102111005207W400","Y","0.18365","0","09-MAY-18","Item Updated"
"a8k16000000g1JEAAY","102111404902W400","Y","0.01519","215.58","09-MAY-18","Item Updated"
"a8k16000000g13fAAA","102112305006W400","Y","0.15346","0","08-MAY-18","Item Updated"
"a8k16000000fyfpAAA","102112305406W400","Y","0.01838","24.5","09-MAY-18","Item Updated"
"a8k16000000g1evAAA","102112504701W400","Y","0.1328","0","09-MAY-18","Item Updated"
"a8k16000000g1tzAAA","102112704802W402","Y","0.0023","0","09-MAY-18","Item Updated"
"a8k16000000fytgAAA","102120105105W400","Y","0.04155","0","09-MAY-18","Item Updated"
"a8k16000000g1euAAA","102120105302W400","Y","0.03409","109.47","08-MAY-18","Item Updated"
"a8k16000000fyu4AAA","102120205204W400","Y","0.21495","0","08-MAY-18","Item Updated"
"a8k16000000g1mQAAQ","102120505405W400","Y","0.16614","21.97","09-MAY-18","Item Updated"
"a8k16000000g0ZoAAI","102120705305W400","Y","0.30325","0","09-MAY-18","Item Updated"
"a8k16000000g0zwAAA","102120705406W402","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000g1JeAAI","102122204802W400","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000g19RAAQ","102122205406W400","Y","0.11918","48.83","08-MAY-18","Item Updated"
"a8k16000000fyfrAAA","102122305406W400","Y","0.10625","0","09-MAY-18","Item Updated"
"a8k16000000fyl6AAA","102122405001W400","Y","0.2423","26.52","08-MAY-18","Item Updated"
"a8k16000000g14jAAA","102123304902W400","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000g1rsAAA","102130505106W400","Y","0.03017","0","09-MAY-18","Item Updated"
"a8k16000000g10jAAA","102130705301W400","Y","0.078","0","09-MAY-18","Item Updated"
"a8k16000000g0byAAA","102131904804W400","Y","0.01863","0","08-MAY-18","Item Updated"
"a8k16000000g20oAAA","102132205406W400","Y","0.07279","0","09-MAY-18","Item Updated"
"a8k16000000fyftAAA","102132305406W400","Y","0.3125","0","09-MAY-18","Item Updated"
"a8k16000000fyl7AAA","102132405001W400","Y","0.17768","26.27","09-MAY-18","Item Updated"
"a8k16000000fykGAAQ","102132905306W400","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000fyxAAAQ","102133004803W400","Y","0.39527","0","08-MAY-18","Item Updated"
"a8k16000000g203AAA","102140705301W402","Y","0.06648","0","09-MAY-18","Item Updated"
"a8k16000000fyz9AAA","102141005101W400","Y","0.16008","20.44","09-MAY-18","Item Updated"
"a8k1L000000KymwQAC","102142204523W300","Y","0.00142","27.48","08-MAY-18","Item Updated"
"a8k16000000g0e2AAA","102142305003W400","Y","0.29159","0","09-MAY-18","Item Updated"
"a8k16000000g1mAAAQ","102142905306W400","Y","0.0475","0","09-MAY-18","Item Updated"
"a8k16000000fzwnAAA","102143104605W400","Y","0.07236","23.33","08-MAY-18","Item Updated"
"a8k16000000g1AZAAY","102143204802W400","Y","0.27747","25.84","08-MAY-18","Item Updated"
"a8k16000000g1qNAAQ","102143505005W400","Y","0.05705","0","09-MAY-18","Item Updated"
"a8k16000000fyi1AAA","102143604902W400","Y","0.30825","0","09-MAY-18","Item Updated"
"a8k16000000fykYAAQ","102150205005W402","Y","0.02516","212.52","09-MAY-18","Item Updated"
"a8k16000000fybzAAA","102150605203W400","Y","0.0623","0","09-MAY-18","Item Updated"
"a8k16000000g1TmAAI","102151104705W400","Y","0.1282","0","08-MAY-18","Item Updated"
"a8k16000000g0kaAAA","102151605207W400","Y","0.05113","44.55","08-MAY-18","Item Updated"
"a8k16000000g1ApAAI","102151905104W402","Y","0.0811","4.67","09-MAY-18","Item Updated"
"a8k16000000g1mMAAQ","102152205406W400","Y","0.081","0","09-MAY-18","Item Updated"
"a8k16000000g1uPAAQ","102152505307W402","Y","0.16019","0","09-MAY-18","Item Updated"
"a8k16000000g1mdAAA","102152905306W400","Y","0.275","0","09-MAY-18","Item Updated"
"a8k16000000fysdAAA","102153005105W400","Y","0.07177","93.81","09-MAY-18","Item Updated"
"a8k16000000g1JGAAY","102160104903W400","Y","0.05395","54.23","08-MAY-18","Item Updated"
"a8k16000000fym1AAA","102160504902W400","Y","0.61797","25.7","08-MAY-18","Item Updated"
"a8k16000000g1TVAAY","102161104705W400","Y","0.16057","22.67","08-MAY-18","Item Updated"
"a8k16000000fyqBAAQ","102161305007W400","Y","0.45023","0","08-MAY-18","Item Updated"
"a8k16000000g0c3AAA","102161904804W400","Y","0.3918","0","09-MAY-18","Item Updated"
"a8k16000000g14ZAAQ","102162304806W400","Y","0.05078","0","09-MAY-18","Item Updated"
"a8k16000000fymOAAQ","102162405001W400","Y","0.0623","39.15","09-MAY-18","Item Updated"
"a8k16000000fynOAAQ","102162505307W400","Y","0.08067","79.4","08-MAY-18","Item Updated"
"a8k16000000g1sOAAQ","102163505005W400","Y","0.16","0","09-MAY-18","Item Updated"
"a8k16000000fyh0AAA","102163605107W400","Y","0.09493","0","08-MAY-18","Item Updated"
"a8k16000000g20pAAA","103010304902W400","Y","0.13925","24.81","08-MAY-18","Item Updated"
"a8k16000000g1qPAAQ","103010605204W400","Y","0.23087","0","09-MAY-18","Item Updated"
"a8k16000000g1r7AAA","103011205204W400","Y","0.05397","85.88","09-MAY-18","Item Updated"
"a8k1L000000KykRQAS","103013504806W400","Y","0.01661","129.84","09-MAY-18","Item Updated"
"a8k16000000fyiXAAQ","103021005207W400","Y","0.03557","0","09-MAY-18","Item Updated"
"a8k16000000g1uMAAQ","103022205406W400","Y","0.35297","0","09-MAY-18","Item Updated"
"a8k16000000g0q7AAA","103023205207W400","Y","0.03095","47.62","08-MAY-18","Item Updated"
"a8k16000000g0jpAAA","103032905003W400","Y","0","0","08-MAY-18","Item Updated"
"a8k16000000fzuDAAQ","103033205207W400","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000g1JdAAI","103033504802W400","Y","0.35","0","09-MAY-18","Item Updated"
"a8k16000000g1u7AAA","103040205207W400","Y","0.26518","120.22","09-MAY-18","Item Updated"
"a8k16000000fyuiAAA","103040505106W400","Y","0.07467","0","09-MAY-18","Item Updated"
"a8k16000000g1JRAAY","103040704902W400","Y","0.008","206.98","09-MAY-18","Item Updated"
"a8k1L000000Kyl1QAC","103040705203W400","Y","0.01008","118.17","09-MAY-18","Item Updated"
"a8k16000000g0nKAAQ","103041604501W400","Y","0.17723","0","09-MAY-18","Item Updated"
"a8k16000000g1v9AAA","103050704902W400","Y","0.008","54.22","08-MAY-18","Item Updated"
"a8k1L000000Kyl2QAC","103050705203W400","Y","0.02077","119.72","08-MAY-18","Item Updated"
"a8k16000000g0bhAAA","103051904804W400","Y","0.1147","0","09-MAY-18","Item Updated"
"a8k16000000fyhoAAA","103053504802W400","Y","0.27575","28.27","08-MAY-18","Item Updated"
"a8k16000000g13yAAA","103063105306W400","Y","5.7979","0","09-MAY-18","Item Updated"
"a8k16000000fykjAAA","103070504902W400","Y","0.1132","42.44","09-MAY-18","Item Updated"
"a8k16000000g1vAAAQ","103072504701W400","Y","0.0193","13.54","09-MAY-18","Item Updated"
"a8k16000000fyxfAAA","103081105301W400","Y","0.0023","13.5","08-MAY-18","Item Updated"
"a8k16000000g1x7AAA","103081205204W400","Y","0.05145","39.83","08-MAY-18","Item Updated"
"a8k16000000g0bnAAA","103081904804W400","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000fykoAAA","103090504902W400","Y","0.39897","20.26","08-MAY-18","Item Updated"
"a8k16000000g1TTAAY","103091104705W400","Y","0.16318","24.3","08-MAY-18","Item Updated"
"a8k16000000fyykAAA","103100904902W400","Y","0.72432","58.46","09-MAY-18","Item Updated"
"a8k16000000g0btAAA","103101904804W400","Y","0.0043","0","09-MAY-18","Item Updated"
"a8k16000000g1r0AAA","103102205406W400","Y","0.30283","0","08-MAY-18","Item Updated"
"a8k16000000fyYOAAY","103110904902W400","Y","0.16056","0","09-MAY-18","Item Updated"
"a8k16000000fztWAAQ","103110905302W400","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000g0YoAAI","103111005207W400","Y","0.26667","0","09-MAY-18","Item Updated"
"a8k16000000g1qRAAQ","103112504701W400","Y","0.07987","19.16","09-MAY-18","Item Updated"
"a8k16000000fyutAAA","103113005106W400","Y","0.0798","0","09-MAY-18","Item Updated"
"a8k16000000fyYSAAY","103120904902W400","Y","0.0023","0","09-MAY-18","Item Updated"
"a8k16000000g13cAAA","103123105306W400","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000fywNAAQ","103123504802W400","Y","0.0023","24.4","08-MAY-18","Item Updated"
"a8k16000000fylCAAQ","103131005207W400","Y","0.48","0","09-MAY-18","Item Updated"
"a8k16000000g0bzAAA","103131904804W400","Y","0.3143","0","08-MAY-18","Item Updated"
"a8k16000000fykHAAQ","103132905306W400","Y","0.02514","0","09-MAY-18","Item Updated"
"a8k16000000g0evAAA","103141605207W400","Y","0.04452","24.91","08-MAY-18","Item Updated"
"a8k16000000fyc0AAA","103150605203W400","Y","0.0773","24.64","08-MAY-18","Item Updated"
"a8k16000000fylHAAQ","103151005207W400","Y","0.13255","0","08-MAY-18","Item Updated"
"a8k16000000g1NdAAI","103151404907W402","Y","0.3023","23.53","08-MAY-18","Item Updated"
"a8k16000000g1O2AAI","103161104705W400","Y","0.07304","0","08-MAY-18","Item Updated"
"a8k16000000g0c4AAA","103161904804W400","Y","0.3013","0","09-MAY-18","Item Updated"
"a8k16000000g20mAAA","104010304902W400","Y","0.10717","0","09-MAY-18","Item Updated"
"a8k16000000fyiTAAQ","104011005207W400","Y","0.50238","1.52","09-MAY-18","Item Updated"
"a8k16000000g1r1AAA","104011205204W400","Y","0.04177","68.56","08-MAY-18","Item Updated"
"a8k16000000fyjoAAA","104021005207W400","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000g0bbAAA","104021904804W400","Y","0.0033","31.78","09-MAY-18","Item Updated"
"a8k16000000g0q8AAA","104023205207W400","Y","0.055","0","08-MAY-18","Item Updated"
"a8k16000000fyujAAA","104040505106W400","Y","0.02992","0","09-MAY-18","Item Updated"
"a8k16000000g1JSAAY","104040704902W400","Y","0.1705","54.71","09-MAY-18","Item Updated"
"a8k1L000000Kyl0QAC","104040705203W400","Y","0.01197","134.66","08-MAY-18","Item Updated"
"a8k16000000g0YyAAI","104041505207W400","Y","0.08411","48.49","08-MAY-18","Item Updated"
"a8k16000000g1mPAAQ","104050704902W400","Y","0.04297","0","09-MAY-18","Item Updated"
"a8k16000000g0biAAA","104051904804W400","Y","0.0743","22.1","09-MAY-18","Item Updated"
"a8k16000000g0khAAA","104052105207W400","Y","0.0023","0","09-MAY-18","Item Updated"
"a8k16000000g1JoAAI","104060205207W400","Y","0","22.39","08-MAY-18","Item Updated"
"a8k16000000g20nAAA","104062504701W400","Y","0.0578","23.25","08-MAY-18","Item Updated"
"a8k16000000fyhtAAA","104063504802W400","Y","0.09429","28.92","08-MAY-18","Item Updated"
"a8k16000000g1u5AAA","104072504701W400","Y","0.0853","40.66","09-MAY-18","Item Updated"
"a8k16000000fywFAAQ","104073504802W400","Y","1.1563","21.34","08-MAY-18","Item Updated"
"a8k16000000g0boAAA","104081904804W400","Y","0.2643","33.99","08-MAY-18","Item Updated"
"a8k16000000fyYLAAY","104100904902W400","Y","0.65756","26.19","09-MAY-18","Item Updated"
"a8k16000000fyjuAAA","104101005207W400","Y","0.28203","0","09-MAY-18","Item Updated"
"a8k16000000g0RgAAI","104101104507W400","Y","0","41.06","08-MAY-18","Item Updated"
"a8k16000000fyYPAAY","104110904902W400","Y","0.08842","30.2","08-MAY-18","Item Updated"
"a8k16000000g0YpAAI","104111005207W400","Y","0.023","0","09-MAY-18","Item Updated"
"a8k16000000g1u3AAA","104112504701W400","Y","0.12831","0","09-MAY-18","Item Updated"
"a8k16000000g0vxAAA","104113504802W400","Y","0.05551","29.62","08-MAY-18","Item Updated"
"a8k16000000fyYTAAY","104120904902W400","Y","0.40659","28.41","08-MAY-18","Item Updated"
"a8k16000000g0wRAAQ","104123104805W400","Y","0.05111","147.33","09-MAY-18","Item Updated"
"a8k16000000fylDAAQ","104131005207W400","Y","0.36122","0","08-MAY-18","Item Updated"
"a8k16000000g1m2AAA","104132905306W400","Y","0.26356","0","09-MAY-18","Item Updated"
"a8k16000000fym3AAA","104160504902W400","Y","0.08194","27.3","09-MAY-18","Item Updated"
"a8k16000000g0c5AAA","104161904804W400","Y","0.2473","0","09-MAY-18","Item Updated"
"a8k16000000g20qAAA","105010304902W400","Y","0.0023","0","08-MAY-18","Item Updated"
"a8k16000000g1r3AAA","105011205204W400","Y","0.03252","44.85","08-MAY-18","Item Updated"
"a8k16000000fzu5AAA","105023205207W400","Y","0.0023","28.75","08-MAY-18","Item Updated"
"a8k16000000fzuEAAQ","105033205207W400","Y","0.06913","25.58","08-MAY-18","Item Updated"
"a8k16000000g1JTAAY","105040704902W400","Y","0.10383","0","09-MAY-18","Item Updated"
"a8k16000000g0YzAAI","105041505207W400","Y","0.20455","20.29","08-MAY-18","Item Updated"
"a8k16000000g1tNAAQ","105050704902W400","Y","0.01709","25.01","08-MAY-18","Item Updated"
"a8k16000000fyhqAAA","105053504802W400","Y","0.52503","19.35","08-MAY-18","Item Updated"
"a8k16000000g1JpAAI","105060205207W400","Y","0","92.35","08-MAY-18","Item Updated"
"a8k16000000fywGAAQ","105073504802W400","Y","0.5658","23.29","08-MAY-18","Item Updated"
"a8k16000000fyYMAAY","105100904902W400","Y","0.42565","0","09-MAY-18","Item Updated"
"a8k16000000fyjvAAA","105101005207W400","Y","0.12459","0","08-MAY-18","Item Updated"
"a8k16000000fyYQAAY","105110904902W400","Y","0.0483","27.95","08-MAY-18","Item Updated"
"a8k16000000g1u4AAA","105112504701W400","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000fyYUAAY","105120904902W400","Y","0.2223","0","09-MAY-18","Item Updated"
"a8k16000000fylIAAQ","105151005207W400","Y","0.21659","0","08-MAY-18","Item Updated"
"a8k16000000fyiVAAQ","106011005207W400","Y","0.00585","0","09-MAY-18","Item Updated"
"a8k16000000fzu6AAA","106023205207W400","Y","0.10299","0","08-MAY-18","Item Updated"
"a8k16000000fzuFAAQ","106033205207W400","Y","0.01692","46.09","08-MAY-18","Item Updated"
"a8k16000000g1JUAAY","106040704902W400","Y","0.12875","91.46","09-MAY-18","Item Updated"
"a8k16000000g0eeAAA","106041505207W400","Y","0.0023","13.68","08-MAY-18","Item Updated"
"a8k16000000g0kiAAA","106052105207W400","Y","0.03704","77.01","08-MAY-18","Item Updated"
"a8k16000000g1JqAAI","106060205207W400","Y","0.0533","38.65","09-MAY-18","Item Updated"
"a8k16000000g0puAAA","106062105207W400","Y","0.0023","0","08-MAY-18","Item Updated"
"a8k16000000fywEAAQ","106063504802W400","Y","0.58149","25.65","08-MAY-18","Item Updated"
"a8k16000000fyjwAAA","106101005207W400","Y","0.10602","1.7","09-MAY-18","Item Updated"
"a8k16000000fyYRAAY","106110904902W400","Y","0.12648","29.69","08-MAY-18","Item Updated"
"a8k16000000fyYVAAY","106120904902W400","Y","0.23301","29.66","08-MAY-18","Item Updated"
"a8k16000000fym5AAA","106160504902W400","Y","0.08787","79.72","08-MAY-18","Item Updated"
"a8k16000000fzu7AAA","107023205207W400","Y","0.03645","21.58","08-MAY-18","Item Updated"
"a8k16000000fzuGAAQ","107033205207W400","Y","0.03087","52.71","08-MAY-18","Item Updated"
"a8k16000000g0efAAA","107041505207W400","Y","0.008","66.18","08-MAY-18","Item Updated"
"a8k16000000g0kjAAA","107052105207W400","Y","0.2023","0","08-MAY-18","Item Updated"
"a8k16000000fyYWAAY","107120904902W400","Y","0.22403","29.98","08-MAY-18","Item Updated"
"a8k16000000fzu8AAA","108023205207W400","Y","0.03087","73.83","08-MAY-18","Item Updated"
"a8k16000000fzuHAAQ","108033205207W400","Y","0.03635","91.95","09-MAY-18","Item Updated"
"a8k16000000g0egAAA","108041505207W400","Y","0.0023","47.63","08-MAY-18","Item Updated"
"a8k16000000g0kkAAA","108052105207W400","Y","0.0423","81.68","08-MAY-18","Item Updated"
"a8k16000000fyklAAA","108080504902W400","Y","0.16587","29.27","08-MAY-18","Item Updated"
"a8k16000000fyjyAAA","108101005207W400","Y","0.468","0","09-MAY-18","Item Updated"
"a8k16000000fzu9AAA","109023205207W400","Y","0.02957","24.71","08-MAY-18","Item Updated"
"a8k16000000g0ehAAA","109041505207W400","Y","0","49.89","08-MAY-18","Item Updated"
"a8k16000000g0klAAA","109052105207W400","Y","0.0098","84.95","09-MAY-18","Item Updated"
"a8k16000000fzuAAAQ","110023205207W400","Y","0.04539","76.95","08-MAY-18","Item Updated"
"a8k16000000g0ejAAA","110031505207W400","Y","0.76644","41.44","08-MAY-18","Item Updated"
"a8k16000000g0kmAAA","110052105207W400","Y","0.01041","27.67","08-MAY-18","Item Updated"
"a8k16000000fzV2AAI","111010105121W300","Y","0.08087","0","08-MAY-18","Item Updated"
"a8k16000000fxcxAAA","111010105226W300","Y","0","0","08-MAY-18","Item Updated"
"a8k16000000g03nAAA","111010204728W300","Y","0.23025","35.66","08-MAY-18","Item Updated"
"a8k16000000fxzpAAA","111010205123W300","Y","0.12108","21.72","08-MAY-18","Item Updated"
"a8k16000000fzQCAAY","111010304525W300","Y","0.43675","0","09-MAY-18","Item Updated"
"a8k16000000fxo7AAA","111010304922W304","Y","0.6323","0","09-MAY-18","Item Updated"
"a8k16000000fyJbAAI","111010404922W303","Y","0.19897","17.42","08-MAY-18","Item Updated"
"a8k1L000000KyqHQAS","111010405225W302","Y","0.17877","26.97","08-MAY-18","Item Updated"
"a8k16000000fy9xAAA","111010505124W300","Y","0.11884","0","08-MAY-18","Item Updated"
"a8k16000000fxcLAAQ","111010505225W300","Y","0.21117","0","02-MAY-18","Item Updated"
"a8k16000000g1zcAAA","111010604823W300","Y","0.25247","17.88","09-MAY-18","Item Updated"
"a8k16000000fxvtAAA","111010605022W300","Y","0.2123","0","08-MAY-18","Item Updated"
"a8k16000000fxfIAAQ","111010605225W300","Y","1.028","0","08-MAY-18","Item Updated"
"a8k16000000g0jOAAQ","111010704825W300","Y","0.13861","45.03","08-MAY-18","Item Updated"
"a8k16000000fyAxAAI","111010904822W300","Y","0.12733","16.28","08-MAY-18","Item Updated"
"a8k1L000000CafUQAS","111010905020W303","Y","0.0023","0","03-MAY-18","Item Updated"
"a8k16000000fzCkAAI","111010905122W300","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000g1JyAAI","111011004821W302","Y","0.2659","0","08-MAY-18","Item Updated"
"a8k16000000g1C8AAI","111011004920W303","Y","0.0129","36.55","08-MAY-18","Item Updated"
"a8k16000000fz4jAAA","111011004921W300","Y","0.17052","28.07","08-MAY-18","Item Updated"
"a8k16000000g0CAAAY","111011005125W302","Y","0","24.81","09-MAY-18","Item Updated"
"a8k16000000fzJuAAI","111011104423W300","Y","0.05727","15.72","08-MAY-18","Item Updated"
"a8k16000000g03qAAA","111011104728W300","Y","0.22909","46.17","09-MAY-18","Item Updated"
"a8k16000000fyWYAAY","111011104922W300","Y","0.0223","0","08-MAY-18","Item Updated"
"a8k16000000fxz6AAA","111011205126W303","Y","0","0","02-MAY-18","Item Updated"
"a8k16000000fzkKAAQ","111011304626W300","Y","0.335","0","09-MAY-18","Item Updated"
"a8k16000000g0LxAAI","111011504427W300","Y","0.13636","21.1","08-MAY-18","Item Updated"
"a8k16000000fy6uAAA","111011505126W302","Y","0.08355","23.88","08-MAY-18","Item Updated"
"a8k16000000g1tsAAA","111011604922W304","Y","0.2923","0","09-MAY-18","Item Updated"
"a8k16000000fxi5AAA","111011605225W302","Y","0.38678","26.25","09-MAY-18","Item Updated"
"a8k16000000g0U3AAI","111011704827W300","Y","0.1523","20.72","08-MAY-18","Item Updated"
"a8k16000000fxx9AAA","111011704922W300","Y","0.02038","0","09-MAY-18","Item Updated"
"a8k16000000fxcXAAQ","111011705024W302","Y","0.09431","18.29","08-MAY-18","Item Updated"
"a8k16000000fzIqAAI","111011705122W302","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000fySkAAI","111011804922W300","Y","0.17877","0","08-MAY-18","Item Updated"
"a8k16000000g0v5AAA","111011905024W304","Y","0","37.42","08-MAY-18","Item Updated"
"a8k16000000fzLjAAI","111011905122W300","Y","0","18.83","08-MAY-18","Item Updated"
"a8k1L000000KyndQAC","111012405123W300","Y","0.15969","16.33","08-MAY-18","Item Updated"
"a8k16000000g0dAAAQ","111012504628W300","Y","0.22464","21.55","09-MAY-18","Item Updated"
"a8k16000000g0Q4AAI","111012504728W300","Y","0","21.91","08-MAY-18","Item Updated"
"a8k16000000fz9wAAA","111012504920W300","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000g0S5AAI","111012504925W303","Y","0.1273","39.53","08-MAY-18","Item Updated"
"a8k16000000fyDvAAI","111012505026W300","Y","0.12","0","08-MAY-18","Item Updated"
"a8k16000000fzjQAAQ","111012604820W303","Y","0.12494","21.42","08-MAY-18","Item Updated"
"a8k16000000fyPMAAY","111012604928W300","Y","0.06897","25.8","09-MAY-18","Item Updated"
"a8k16000000g1H2AAI","111012605124W302","Y","0.0023","0","09-MAY-18","Item Updated"
"a8k16000000fzoYAAQ","111012704527W300","Y","0.49117","16.94","09-MAY-18","Item Updated"
"a8k16000000fyNKAAY","111012704822W303","Y","0.09132","0","09-MAY-18","Item Updated"
"a8k16000000fzjpAAA","111012705020W303","Y","0.2148","17.33","09-MAY-18","Item Updated"
