"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","SUM(DBT.TICKET_SHIPMENT_OIL)","MAX(DBT.PRODUCTION_DATE)","STATUS"
"a8k16000000g0v4AAA","100031305302W400","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000g0RbAAI","100031404505W400","Y","0.39513","0","08-MAY-18","Item Updated"
"a8k16000000g0YuAAI","100031505207W403","Y","0.09629","33.93","08-MAY-18","Item Updated"
"a8k16000000g1qLAAQ","100031505302W400","Y","0.09417","45.28","09-MAY-18","Item Updated"
"a8k16000000g0bcAAA","100031904804W400","Y","1.18067","0","09-MAY-18","Item Updated"
"a8k16000000fyodAAA","100031905006W400","Y","0.12077","16.04","08-MAY-18","Item Updated"
"a8k16000000g0fEAAQ","100031905301W402","Y","0.07585","56.78","08-MAY-18","Item Updated"
"a8k16000000g0Y8AAI","100031905302W400","Y","0.12476","43.41","09-MAY-18","Item Updated"
"a8k16000000g1n4AAA","100032305006W400","Y","0.00483","0","08-MAY-18","Item Updated"
"a8k16000000g0qTAAQ","100032305302W400","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000fye4AAA","100032305406W400","Y","0","73.25","09-MAY-18","Item Updated"
"a8k16000000fymQAAQ","100032505001W400","Y","0.08618","21.04","08-MAY-18","Item Updated"
"a8k16000000g1FEAAY","100032505205W400","Y","0.02427","101.7","09-MAY-18","Item Updated"
"a8k16000000fzwfAAA","100033104605W400","Y","0.35704","22.73","08-MAY-18","Item Updated"
"a8k16000000fylRAAQ","100033105306W400","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000g0VrAAI","100033304706W400","Y","0.58897","0","09-MAY-18","Item Updated"
"a8k16000000fyhhAAA","100033404802W400","Y","0.008","17.79","08-MAY-18","Item Updated"
"a8k16000000g0amAAA","100033604705W400","Y","0.02753","51.98","08-MAY-18","Item Updated"
"a8k16000000fyiJAAQ","100040105207W402","Y","0.06464","56.31","08-MAY-18","Item Updated"
"a8k16000000g1u8AAA","100040205207W400","Y","0.1578","168.28","08-MAY-18","Item Updated"
"a8k16000000g0eOAAQ","100040305402W400","Y","0.08859","31.18","09-MAY-18","Item Updated"
"a8k16000000g1uGAAQ","100040404902W400","Y","1.36926","0","09-MAY-18","Item Updated"
"a8k16000000g0NzAAI","100040504504W400","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000fyycAAA","100040504902W400","Y","0.056","0","09-MAY-18","Item Updated"
"a8k16000000fyshAAA","100040505106W400","Y","0.06726","0","09-MAY-18","Item Updated"
"a8k16000000fzuOAAQ","100040605301W400","Y","0.11545","72.14","09-MAY-18","Item Updated"
"a8k1L000000KykyQAC","100040705203W400","Y","0.00323","101.76","09-MAY-18","Item Updated"
"a8k1L000000KytXQAS","100040705302W402","Y","0.023","0","09-MAY-18","Item Updated"
"a8k16000000g0ZiAAI","100040705305W400","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000fyaxAAA","100040705406W400","Y","0","52.63","08-MAY-18","Item Updated"
"a8k16000000g1qDAAQ","100040905305W400","Y","0.02927","48.85","08-MAY-18","Item Updated"
"a8k16000000g1vKAAQ","100041305005W400","Y","0.0041","277.67","09-MAY-18","Item Updated"
"a8k16000000g0RcAAI","100041404505W400","Y","0.29558","17.15","08-MAY-18","Item Updated"
"a8k16000000fycJAAQ","100041705406W400","Y","0.1225","0","09-MAY-18","Item Updated"
"a8k16000000g0qsAAA","100041805405W402","Y","0.2149","20.68","08-MAY-18","Item Updated"
"a8k16000000g0beAAA","100041904804W400","Y","1.01067","0","09-MAY-18","Item Updated"
"a8k1L000000KyqrQAC","100042104806W402","Y","0.0023","0","09-MAY-18","Item Updated"
"a8k16000000g1iaAAA","100042104907W400","Y","0.26493","0","08-MAY-18","Item Updated"
"a8k16000000fyvOAAQ","100042105201W400","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000fyarAAA","100042106404W400","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000g01RAAQ","100042304706W400","Y","0.04404","78.42","08-MAY-18","Item Updated"
"a8k16000000g1n3AAA","100042305006W400","Y","0.01534","28.77","08-MAY-18","Item Updated"
"a8k16000000fye6AAA","100042305406W400","Y","0.03333","0","08-MAY-18","Item Updated"
"a8k16000000g0v8AAA","100042505205W400","Y","0.0064","168.45","09-MAY-18","Item Updated"
"a8k16000000g19KAAQ","100042505406W400","Y","0.05989","100.41","09-MAY-18","Item Updated"
"a8k16000000g0VmAAI","100042704706W400","Y","1.33573","0","09-MAY-18","Item Updated"
"a8k16000000g1mbAAA","100042704902W400","Y","0.03861","0","09-MAY-18","Item Updated"
"a8k16000000g1uXAAQ","100042705207W400","Y","0.06923","0","09-MAY-18","Item Updated"
"a8k16000000fydIAAQ","100042904901W400","Y","0.14052","20.2","09-MAY-18","Item Updated"
"a8k16000000fzwgAAA","100043104605W400","Y","0.68764","0","08-MAY-18","Item Updated"
"a8k16000000fyxBAAQ","100043104803W400","Y","0.448","24.5","09-MAY-18","Item Updated"
"a8k16000000fylTAAQ","100043105306W400","Y","0.18342","0","09-MAY-18","Item Updated"
"a8k16000000fylNAAQ","100043404906W400","Y","0.08801","40.69","08-MAY-18","Item Updated"
"a8k16000000g0VxAAI","100043504706W400","Y","0.008","0","04-MAY-18","Item Updated"
"a8k16000000g1vZAAQ","100043504806W400","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000g0ePAAQ","100050305402W400","Y","0.1026","55.23","08-MAY-18","Item Updated"
"a8k16000000g0ZdAAI","100050505305W400","Y","0.0023","0","09-MAY-18","Item Updated"
