"ID","WELL_LOCATION","GAS_OIL_RATIO","SUM(WBT.PRORATED_OIL)","MAX(WBT.PRODUCTION_DATE)","STATUS"
"a8k16000000g24gAAA","100051307825W400","0.1336","0","07-MAY-18","Item Updated"
"a8k16000000g00DAAQ","100051404506W400","0.03472","11.74","07-MAY-18","Item Updated"
"a8k16000000g07QAAQ","100051904704W400","0.08037","15.45","06-MAY-18","Item Updated"
"a8k16000000g0QMAAY","100052004704W400","0.08035","1.51","07-MAY-18","Item Updated"
"a8k16000000g0UWAAY","100052004906W400","0.0023","24.41","07-MAY-18","Item Updated"
"a8k16000000fyhDAAQ","100052005805W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fyipAAA","100052006003W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0N6AAI","100052304506W400","0.03957","11.29","07-MAY-18","Item Updated"
"a8k16000000fyn4AAA","100052306003W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g18JAAQ","100052307420W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g18CAAQ","100052307420W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g0rAAAQ","100053104906W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g17RAAQ","100060207420W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g27qAAA","100060207825W400","0.43904","0","07-MAY-18","Item Updated"
"a8k16000000fzO0AAI","100061104706W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0NGAAY","100061404401W400","0.0298","16.01","07-MAY-18","Item Updated"
"a8k16000000fybAAAQ","100061505405W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g16aAAA","100061507420W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g0rUAAQ","100061804704W400","0.08041","9.92","06-MAY-18","Item Updated"
"a8k16000000fynzAAA","100061805006W400","0.1273","10.02","07-MAY-18","Item Updated"
"a8k16000000g0QyAAI","100061904401W400","0.0023","0","07-MAY-18","Item Updated"
"a8k16000000g0gDAAQ","100062104704W400","0.08044","5.03","07-MAY-18","Item Updated"
"a8k16000000g18SAAQ","100062107320W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g18FAAQ","100062907320W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g197AAA","100063007319W400","0.11182","0.67","07-MAY-18","Item Updated"
"a8k16000000g23JAAQ","100063007923W402","0","0","07-MAY-18","Item Updated"
"a8k16000000fyXvAAI","100063305205W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g17mAAA","100063307321W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g15BAAQ","100063507421W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g17cAAA","100063607420W402","0","0","07-MAY-18","Item Updated"
"a8k16000000fzOBAAY","100070104304W400","0","5.85","08-MAY-18","Item Updated"
"a8k16000000g0seAAA","100070104705W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g27dAAA","100070207825W400","0.16404","4.82","07-MAY-18","Item Updated"
"a8k16000000g25wAAA","100070307825W400","1.58292","0","07-MAY-18","Item Updated"
"a8k16000000g0JlAAI","100070504606W400","0.00936","0","07-MAY-18","Item Updated"
"a8k16000000g16iAAA","100070507420W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g16KAAQ","100070707421W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0sMAAQ","100071404604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g27TAAQ","100071407825W400","0.70296","0","07-MAY-18","Item Updated"
"a8k16000000g0HcAAI","100071604604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g18HAAQ","100071607420W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0rVAAQ","100071804704W400","0","0","06-MAY-18","Item Updated"
"a8k16000000fyo0AAA","100071805006W400","0.26651","13.45","07-MAY-18","Item Updated"
"a8k16000000g07UAAQ","100071904704W400","0.08033","2.8","06-MAY-18","Item Updated"
"a8k16000000fzF2AAI","100072004606W400","0","0","07-MAY-18","Item Updated"
