"ID","NAME","EXTERNAL ID","DATA CENTER","STATUS"
"a9K1L000000GmuYUAS","ARSJCTX03","ARSJCTX03","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuZUAS","ARSJCTX04","ARSJCTX04","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuaUAC","ARSJCTX05DV","ARSJCTX05DV","","Item Updated"
"a9K1L000000GmubUAC","ARSJD2D01.HQ","ARSJD2D01.HQ","","Item Updated"
"a9K1L000000GmucUAC","ARSJDC01","ARSJDC01","","Item Updated"
"a9K1L000000GmudUAC","ARSJDSDV01","ARSJDSDV01","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmueUAC","ARSJFMCD01","ARSJFMCD01","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmufUAC","ARSJHPC","ARSJHPC","","Item Updated"
"a9K1L000000GmugUAC","ARSJHPC01","ARSJHPC01","","Item Updated"
"a9K1L000000GmuhUAC","ARSJHPC02","ARSJHPC02","","Item Updated"
"a9K1L000000GmuiUAC","ARSJHPC03","ARSJHPC03","","Item Updated"
"a9K1L000000GmujUAC","ARSJHPC04","ARSJHPC04","","Item Updated"
"a9K1L000000GmukUAC","ARSJHPC05","ARSJHPC05","","Item Updated"
"a9K1L000000GmulUAC","ARSJHPC06","ARSJHPC06","","Item Updated"
"a9K1L000000GmumUAC","ARSJHPIRS01","ARSJHPIRS01","","Item Updated"
"a9K1L000000GmunUAC","ARSJIMSD01","ARSJIMSD01","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuoUAC","ARSJIMSD03","ARSJIMSD03","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmupUAC","ARSJLB02","ARSJLB02","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuqUAC","ARSJLB03","ARSJLB03","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmurUAC","ARSJLDCOPS","ARSJLDCOPS","","Item Updated"
"a9K1L000000GmusUAC","ARSJLIC01","ARSJLIC01","","Item Updated"
"a9K1L000000GmutUAC","ARSJLIC02","ARSJLIC02","","Item Updated"
"a9K1L000000GmuuUAC","ARSJLINUXBUILD","ARSJLINUXBUILD","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuvUAC","ARSJLLDEV01","ARSJLLDEV01","","Item Updated"
"a9K1L000000GmuwUAC","ARSJLLDEV02","ARSJLLDEV02","","Item Updated"
"a9K1L000000GmuxUAC","ARSJLS01","ARSJLS01","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuyUAC","ARSJLS02","ARSJLS02","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuzUAC","ARSJLS03","ARSJLS03","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv0UAC","ARSJLS04","ARSJLS04","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv1UAC","ARSJLS05","ARSJLS05","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv2UAC","ARSJLS06","ARSJLS06","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv3UAC","ARSJLS07","ARSJLS07","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv4UAC","ARSJLS08","ARSJLS08","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv5UAC","ARSJLS09","ARSJLS09","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv6UAC","ARSJLS10","ARSJLS10","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv7UAC","ARSJLS11","ARSJLS11","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv8UAC","ARSJLS12","ARSJLS12","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv9UAC","ARSJLW01","ARSJLW01","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvAUAS","ARSJLW02","ARSJLW02","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvBUAS","ARSJLW03","ARSJLW03","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvCUAS","ARSJLW04","ARSJLW04","","Item Updated"
"a9K1L000000GmvDUAS","ARSJLW05","ARSJLW05","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvEUAS","ARSJLW07","ARSJLW07","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvFUAS","ARSJLW08","ARSJLW08","","Item Updated"
"a9K1L000000GmvGUAS","ARSJLW09","ARSJLW09","","Item Updated"
"a9K1L000000GmvHUAS","ARSJLW10","ARSJLW10","","Item Updated"
"a9K1L000000GmvIUAS","ARSJLW11","ARSJLW11","","Item Updated"
"a9K1L000000GmvJUAS","ARSJLW12","ARSJLW12","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvKUAS","ARSJLW13","ARSJLW13","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvLUAS","ARSJLW14","ARSJLW14","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvMUAS","ARSJLW15","ARSJLW15","","Item Updated"
"a9K1L000000GmvNUAS","ARSJMBR01","ARSJMBR01","","Item Updated"
"a9K1L000000GmvOUAS","ARSJMBX01","ARSJMBX01","","Item Updated"
"a9K1L000000GmvPUAS","ARSJMBX02","ARSJMBX02","","Item Updated"
"a9K1L000000GmvQUAS","ARSJMID01","ARSJMID01","","Item Updated"
"a9K1L000000GmvRUAS","ARSJMON01","ARSJMON01","","Item Updated"
"a9K1L000000GmvSUAS","ARSJNCC01","ARSJNCC01","","Item Updated"
"a9K1L000000GmvTUAS","ARSJNCR01","ARSJNCR01","","Item Updated"
"a9K1L000000GmvUUAS","ARSJSCCM01","ARSJSCCM01","","Item Updated"
"a9K1L000000GmvVUAS","ARSJSCCM03","ARSJSCCM03","","Item Updated"
"a9K1L000000GmvWUAS","ARSJSCOM01","ARSJSCOM01","","Item Updated"
"a9K1L000000GoBkUAK","ARSJSCOM02","ARSJSCOM02","","Item Created"
"a9K1L000000GoBlUAK","ARSJSCOM03","ARSJSCOM03","","Item Created"
"a9K1L000000GmvXUAS","ARSJSNAP01","ARSJSNAP01","","Item Updated"
"a9K1L000000GmvYUAS","ARSJSNAPVM01","ARSJSNAPVM01","","Item Updated"
"a9K1L000000GmvZUAS","ARSJSQL01","ARSJSQL01","","Item Updated"
"a9K1L000000GmvaUAC","ARSJSQL01DV","ARSJSQL01DV","","Item Updated"
"a9K1L000000GmvbUAC","ARSJSQL02","ARSJSQL02","","Item Updated"
"a9K1L000000GmvcUAC","ARSJSQL02DV","ARSJSQL02DV","","Item Updated"
"a9K1L000000GmvdUAC","ARSJSQL03","ARSJSQL03","","Item Updated"
"a9K1L000000GmveUAC","ARSJSQL03DV","ARSJSQL03DV","","Item Updated"
"a9K1L000000GmvfUAC","ARSJSRM01","ARSJSRM01","","Item Updated"
"a9K1L000000GmvgUAC","ARSJSRS01DV","ARSJSRS01DV","","Item Updated"
"a9K1L000000GmvhUAC","ARSJWEB01","ARSJWEB01","","Item Updated"
"a9K1L000000GmviUAC","ARSJWEB01DV","ARSJWEB01DV","","Item Updated"
"a9K1L000000GmvjUAC","ARSJWEB02","ARSJWEB02","","Item Updated"
"a9K1L000000GmvkUAC","ARSJWUG01","ARSJWUG01","","Item Updated"
"a9K1L000000GmvlUAC","ARSRAPP01","ARSRAPP01","","Item Updated"
"a9K1L000000GmvmUAC","ARSRAPP02","ARSRAPP02","Searose Data Center � EER3","Item Updated"
"a9K1L000000GmvnUAC","arsrapp03","arsrapp03","","Item Updated"
"a9K1L000000GmvoUAC","arsrapp04","arsrapp04","","Item Updated"
"a9K1L000000GmvpUAC","ARSRAPP05","ARSRAPP05","","Item Updated"
"a9K1L000000GmvqUAC","ARSRAPP06","ARSRAPP06","Searose Data Center � EER3","Item Updated"
"a9K1L000000GmvrUAC","ARSRCS10DEV01","ARSRCS10DEV01","","Item Updated"
"a9K1L000000GmvsUAC","ARSRCS10PRD01","ARSRCS10PRD01","","Item Updated"
"a9K1L000000GmvtUAC","ARSRCSDV01","ARSRCSDV01","","Item Updated"
"a9K1L000000GmvuUAC","ARSRDC01","ARSRDC01","","Item Updated"
"a9K1L000000GmvvUAC","ARSRESX01","ARSRESX01","","Item Updated"
"a9K1L000000GmvwUAC","ARSRESX02","ARSRESX02","Searose Data Center � EER3","Item Updated"
"a9K1L000000GmvxUAC","ARSRESX03","ARSRESX03","","Item Updated"
"a9K1L000000GmvyUAC","ARSRLS01","ARSRLS01","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvzUAC","ARSRSCCM01","ARSRSCCM01","","Item Updated"
"a9K1L000000Gmw0UAC","ARSRSCCM02","ARSRSCCM02","","Item Updated"
"a9K1L000000Gmw1UAC","ARSRSCOM01","ARSRSCOM01","","Item Updated"
"a9K1L000000Gmw2UAC","ARSRSQL01","ARSRSQL01","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmw3UAC","ARSRWEB01","ARSRWEB01","","Item Updated"
"a9K1L000000Gmw4UAC","ARWMBAK01","ARWMBAK01","","Item Updated"
"a9K1L000000Gmw5UAC","awf003","awf003","Lloydminster Data Center","Item Updated"
"a9K1L000000Gmw6UAC","awf005","awf005","","Item Updated"
"a9K1L000000Gmw7UAC","BOLNYLRS199","BOLNYLRS199","","Item Updated"
"a9K1L000000Gmw8UAC","BTL08060203","BTL08060203","WCP Data Center","Item Updated"
"a9K1L000000Gmw9UAC","btl08060204","btl08060204","","Item Updated"
"a9K1L000000GmwAUAS","btl08061201","btl08061201","","Item Updated"
"a9K1L000000GmwBUAS","btl08071701","btl08071701","","Item Updated"
"a9K1L000000GmwCUAS","btl08071702","btl08071702","","Item Updated"
"a9K1L000000GmwDUAS","btl08071703","btl08071703","","Item Updated"
"a9K1L000000GmwEUAS","btl08090201","btl08090201","","Item Updated"
"a9K1L000000GmwFUAS","btl08101401","btl08101401","","Item Updated"
"a9K1L000000GmwGUAS","btl08101402","btl08101402","","Item Updated"
"a9K1L000000GmwHUAS","btl08101403","btl08101403","","Item Updated"
"a9K1L000000GmwIUAS","btl090102201","btl090102201","","Item Updated"
"a9K1L000000GmwJUAS","btl09032601","btl09032601","","Item Updated"
"a9K1L000000GmwKUAS","btl09050101","btl09050101","","Item Updated"
"a9K1L000000GoBmUAK","btl09080302","btl09080302","WCP data centre","Item Created"
"a9K1L000000GmwLUAS","BTL09080303","BTL09080303","","Item Updated"
"a9K1L000000GmwMUAS","BTL09080304","BTL09080304","","Item Updated"
"a9K1L000000GmwNUAS","BTL09080305","BTL09080305","","Item Updated"
"a9K1L000000GmwOUAS","BTL09080306","BTL09080306","","Item Updated"
"a9K1L000000GmwPUAS","BTL09080307","BTL09080307","","Item Updated"
"a9K1L000000GmwQUAS","BTL09080308","BTL09080308","WCP data centre","Item Updated"
"a9K1L000000GmwRUAS","btl09080309.hq","btl09080309.hq","","Item Updated"
"a9K1L000000GmwSUAS","BTL09080311","BTL09080311","","Item Updated"
"a9K1L000000GmwTUAS","BTL09080312","BTL09080312","","Item Updated"
"a9K1L000000GmwUUAS","BTL09080315","BTL09080315","WCP Data Center","Item Updated"
"a9K1L000000GmwVUAS","BTL11060101","BTL11060101","WCP Data Center","Item Updated"
"a9K1L000000GmwWUAS","btl11060103","btl11060103","","Item Updated"
"a9K1L000000GmwXUAS","BTL12010601","BTL12010601","","Item Updated"
"a9K1L000000GmwYUAS","BTL12010602","BTL12010602","","Item Updated"
"a9K1L000000GmwZUAS","BTL12022901","BTL12022901","WCP Data Center","Item Updated"
"a9K1L000000GmwaUAC","btl12022902.hq","btl12022902.hq","","Item Updated"
"a9K1L000000GmwbUAC","BTL12022903","BTL12022903","WCP Data Center","Item Updated"
"a9K1L000000GmwcUAC","BURTT-SH560","BURTT-SH560","","Item Updated"
"a9K1L000000GmwdUAC","cag01","cag01","","Item Updated"
"a9K1L000000GmweUAC","cag02","cag02","","Item Updated"
"a9K1L000000GmwfUAC","cag03","cag03","","Item Updated"
"a9K1L000000GmwgUAC","cag04","cag04","","Item Updated"
"a9K1L000000GmwhUAC","cag07","cag07","","Item Updated"
"a9K1L000000GmwiUAC","cag08","cag08","","Item Updated"
"a9K1L000000GmwjUAC","CAL-05-RB-INT9350-001","CAL-05-RB-INT9350-001","WCP Data Center","Item Updated"
"a9K1L000000GmwkUAC","CAL-05-RB-INT9350-002","CAL-05-RB-INT9350-002","WCP Data Center","Item Updated"
"a9K1L000000GmwlUAC","cal-05-sh1260-prim.hq","cal-05-sh1260-prim.hq","WCP Data Center","Item Updated"
"a9K1L000000GmwmUAC","cal-05-sh5055-prim.hq","cal-05-sh5055-prim.hq","WCP Data Center","Item Updated"
"a9K1L000000GmwnUAC","CAL-WCPFW-01","CAL-WCPFW-01","","Item Updated"
"a9K1L000000GmwoUAC","CALBCPLRS203","CALBCPLRS203","","Item Updated"
"a9K1L000000GmwpUAC","capl001","capl001","WCP Data Center","Item Updated"
