"RULEDEFAULTNAME","MONITORINSTANCE","TIME","MINVALUE","AVGVALUE","MAXVALUE","SERVER","SERVERID","METRIC","TYPE","EXTERNAL ID","UNIT","ERROR"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","12.56612396","16.72933674","23.6960907","JWF008.hq.huskyenergy.com","JWF008","CPU Utilization","Baseline","JWF008.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: jwf008 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","16.89811516","40.11536717","97.67427063","LIRORA1.hq.huskyenergy.com","LIRORA1","CPU Utilization","Baseline","LIRORA1.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: lirora1 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","25.86936188","51.89329113","93.02632904","LIRWEB1.hq.huskyenergy.com","LIRWEB1","CPU Utilization","Baseline","LIRWEB1.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: lirweb1 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","28.08977127","76.6950779","100","LIROPS1.hq.huskyenergy.com","LIROPS1","CPU Utilization","Baseline","LIROPS1.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: lirops1 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","16.68631744","35.01483111","83.45301056","RRHDC002.hq.huskyenergy.com","RRHDC002","CPU Utilization","Baseline","RRHDC002.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: rrhdc002 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","30.30465698","32.40015078","70.25482941","LIMREFCH01.hq.huskyenergy.com","LIMREFCH01","CPU Utilization","Baseline","LIMREFCH01.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: limrefch01 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","8.309447289","16.63231695","57.15680695","LSBASHPL.hq.huskyenergy.com","LSBASHPL","CPU Utilization","Baseline","LSBASHPL.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: lsbashpl not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","48.85024261","63.58647483","99.14488983","SXCH10.hq.huskyenergy.com","SXCH10","CPU Utilization","Baseline","SXCH10.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: sxch10 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","61.9937439","67.25476766","99.70272827","SXCH11.hq.huskyenergy.com","SXCH11","CPU Utilization","Baseline","SXCH11.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: sxch11 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","5.720961094","14.69251525","29.498312","CWF828.hq.huskyenergy.com","CWF828","CPU Utilization","Baseline","CWF828.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cwf828 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","14.4285202","29.02668677","51.58288193","LIMREFMBX01.hq.huskyenergy.com","LIMREFMBX01","CPU Utilization","Baseline","LIMREFMBX01.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: limrefmbx01 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","86.2891922","95.527071","99.26696777","LIRSQL2.hq.huskyenergy.com","LIRSQL2","CPU Utilization","Baseline","LIRSQL2.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: lirsql2 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","7.815022469","7.815022469","11.00407696","LSBASHLU.hq.huskyenergy.com","LSBASHLU","CPU Utilization","Baseline","LSBASHLU.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: lsbashlu not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","17.1859169","36.96968365","75.16657257","TLHSQL003PD.hq.huskyenergy.com","TLHSQL003PD","CPU Utilization","Baseline","TLHSQL003PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: tlhsql003pd not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2012 R2","_Total","2017-11-10T12:00:00Z","55.04727173","61.01040878","73.92358398","LIRPI1.hq.huskyenergy.com","LIRPI1","CPU Utilization","Baseline","LIRPI1.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: lirpi1 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2012 R2","_Total","2017-11-10T12:00:00Z","4.899606705","5.620446563","9.547170639","LIRSCOM1.hq.huskyenergy.com","LIRSCOM1","CPU Utilization","Baseline","LIRSCOM1.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: lirscom1 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2012 R2","_Total","2017-11-10T12:00:00Z","16.91942787","20.74030423","60.91438675","cwf245.hq.huskyenergy.com","cwf245","CPU Utilization","Baseline","cwf245.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cwf245 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2012 R2","_Total","2017-11-10T12:00:00Z","43.74386978","56.59817123","84.96630859","LIRVBLS1.hq.huskyenergy.com","LIRVBLS1","CPU Utilization","Baseline","LIRVBLS1.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: lirvbls1 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","81.92114103","82.82396499","84.21914589","CGWAPP397PD.hq.huskyenergy.com","CGWAPP397PD","Memory Utilization","Baseline","CGWAPP397PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cgwapp397pd not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","95.42211443","96.29618538","98.77923051","CGWAPP969PD.hq.huskyenergy.com","CGWAPP969PD","Memory Utilization","Baseline","CGWAPP969PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cgwapp969pd not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","38.98262407","46.30153501","56.39174333","BTL09032605.hq.huskyenergy.com","BTL09032605","Memory Utilization","Baseline","BTL09032605.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: btl09032605 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","83.8614274","86.73267723","99.59714607","CGWAPP610PD.hq.huskyenergy.com","CGWAPP610PD","Memory Utilization","Baseline","CGWAPP610PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cgwapp610pd not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","40.05695962","56.7742719","99.90233313","CGWBTL013PD.hq.huskyenergy.com","CGWBTL013PD","Memory Utilization","Baseline","CGWBTL013PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cgwbtl013pd not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","66.35010512","84.8111505","99.90232251","CGWBTL510PD.hq.huskyenergy.com","CGWBTL510PD","Memory Utilization","Baseline","CGWBTL510PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cgwbtl510pd not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","98.59616965","98.97241362","99.85961697","CGWSQL160PD.hq.huskyenergy.com","CGWSQL160PD","Memory Utilization","Baseline","CGWSQL160PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cgwsql160pd not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","98.24213972","98.73857249","99.33469871","CGWSQL339PD.hq.huskyenergy.com","CGWSQL339PD","Memory Utilization","Baseline","CGWSQL339PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cgwsql339pd not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","75.39329542","75.90447278","76.59265483","CGYWCPCH01.hq.huskyenergy.com","CGYWCPCH01","Memory Utilization","Baseline","CGYWCPCH01.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cgywcpch01 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","14.96501708","15.29554499","16.49017818","CGYDRUM01.hq.huskyenergy.com","CGYDRUM01","Memory Utilization","Baseline","CGYDRUM01.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cgydrum01 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","74.80153942","79.45299944","84.1777108","cwf245.hq.huskyenergy.com","cwf245","Memory Utilization","Baseline","cwf245.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cwf245 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","63.34918794","64.46266318","65.46776728","cwf252.hq.huskyenergy.com","cwf252","Memory Utilization","Baseline","cwf252.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cwf252 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","17.72889196","18.68357376","20.20715802","CWF744.hq.huskyenergy.com","CWF744","Memory Utilization","Baseline","CWF744.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cwf744 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","94.94927218","95.2333947","96.1516811","LIMREFMBX01.hq.huskyenergy.com","LIMREFMBX01","Memory Utilization","Baseline","LIMREFMBX01.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: limrefmbx01 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","78.96613174","79.03937794","81.49312578","LIRSCOM1.hq.huskyenergy.com","LIRSCOM1","Memory Utilization","Baseline","LIRSCOM1.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: lirscom1 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","43.81942694","44.05238096","44.39926881","LIMREFCH01.hq.huskyenergy.com","LIMREFCH01","Memory Utilization","Baseline","LIMREFCH01.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: limrefch01 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","58.61366459","64.5062323","86.20455486","LIRWEB1.hq.huskyenergy.com","LIRWEB1","Memory Utilization","Baseline","LIRWEB1.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: lirweb1 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","65.76960731","66.56310785","71.71475754","LIRVBLS1.hq.huskyenergy.com","LIRVBLS1","Memory Utilization","Baseline","LIRVBLS1.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: lirvbls1 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","89.83843943","90.30254917","95.50546359","JWF008.hq.huskyenergy.com","JWF008","Memory Utilization","Baseline","JWF008.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: jwf008 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","52.25765197","52.95753127","55.31860665","LIRORA1.hq.huskyenergy.com","LIRORA1","Memory Utilization","Baseline","LIRORA1.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: lirora1 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","91.39149416","94.67032212","98.35425624","LSBASHLU.hq.huskyenergy.com","LSBASHLU","Memory Utilization","Baseline","LSBASHLU.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: lsbashlu not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","94.4044712","94.99947087","97.77191613","LSBASHPL.hq.huskyenergy.com","LSBASHPL","Memory Utilization","Baseline","LSBASHPL.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: lsbashpl not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","97.47703068","98.06301065","99.96744556","CWF828.hq.huskyenergy.com","CWF828","Memory Utilization","Baseline","CWF828.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cwf828 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","46.22510417","49.61884334","61.5823843","LIROPS1.hq.huskyenergy.com","LIROPS1","Memory Utilization","Baseline","LIROPS1.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: lirops1 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","78.14271126","78.41432515","78.63710958","LIRPI1.hq.huskyenergy.com","LIRPI1","Memory Utilization","Baseline","LIRPI1.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: lirpi1 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","87.76822223","88.71490324","90.18528011","LIRSQL2.hq.huskyenergy.com","LIRSQL2","Memory Utilization","Baseline","LIRSQL2.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: lirsql2 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","92.96035687","94.07042314","99.536116","TLHSQL003PD.hq.huskyenergy.com","TLHSQL003PD","Memory Utilization","Baseline","TLHSQL003PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: tlhsql003pd not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","40.56444518","41.03831644","50.5585917","STX007.hq.huskyenergy.com","STX007","Memory Utilization","Baseline","STX007.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: stx007 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","44.09714068","44.58194079","45.45213956","SXCH10.hq.huskyenergy.com","SXCH10","Memory Utilization","Baseline","SXCH10.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: sxch10 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","38.93654809","39.06777546","40.76152406","SXCH11.hq.huskyenergy.com","SXCH11","Memory Utilization","Baseline","SXCH11.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: sxch11 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","18.48338927","19.24430456","20.76308334","RRHDC002.hq.huskyenergy.com","RRHDC002","Memory Utilization","Baseline","RRHDC002.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: rrhdc002 not found for field External_Id__c in entity SCOM_Server__c"
"Percent Memory Used","_self","2017-11-10T12:00:00Z","4.56881236","4.570168726","4.842798259","swf032.hq.huskyenergy.com","swf032","Memory Utilization","Baseline","swf032.hq.huskyenergy.com-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: swf032 not found for field External_Id__c in entity SCOM_Server__c"
"Total Processor % Processor Time (Red Hat Enterprise Linux Server 5)","_Total","2017-11-10T12:00:00Z","13","20.75","38","cls250","cls250","CPU Utilization","Baseline","cls250-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cls250 not found for field External_Id__c in entity SCOM_Server__c"
"Total Processor % Processor Time (Red Hat Enterprise Linux Server 6)","_Total","2017-11-10T12:00:00Z","0","13.58333333","51","cls227","cls227","CPU Utilization","Baseline","cls227-CPU Utilization-_Total-Baseline","%","DUPLICATE_VALUE:Duplicate external id specified: cls227-cpu utilization-_total-baseline
Error fields: External_Key__c "
"Total Processor % Processor Time (Red Hat Enterprise Linux Server 5)","_Total","2017-11-10T12:00:00Z","21","29.58333333","57","cls244","cls244","CPU Utilization","Baseline","cls244-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cls244 not found for field External_Id__c in entity SCOM_Server__c"
"Total Processor % Processor Time (Red Hat Enterprise Linux Server 5)","_Total","2017-11-10T12:00:00Z","40","44.66666667","49","cls245","cls245","CPU Utilization","Baseline","cls245-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cls245 not found for field External_Id__c in entity SCOM_Server__c"
"Total Processor % Processor Time (Red Hat Enterprise Linux Server 5)","_Total","2017-11-10T12:00:00Z","73","85.16666667","92","cls243","cls243","CPU Utilization","Baseline","cls243-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cls243 not found for field External_Id__c in entity SCOM_Server__c"
"Total Processor % Processor Time (Red Hat Enterprise Linux Server 6)","_Total","2017-11-10T12:00:00Z","0","11.81818182","51","cls227","cls227","CPU Utilization","Baseline","cls227-CPU Utilization-_Total-Baseline","%","DUPLICATE_VALUE:Duplicate external id specified: cls227-cpu utilization-_total-baseline
Error fields: External_Key__c "
"Total Processor % Processor Time (SUSE Linux Enterprise Server 11)","_Total","2017-11-10T12:00:00Z","4","10.58333333","100","cls320","cls320","CPU Utilization","Baseline","cls320-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cls320 not found for field External_Id__c in entity SCOM_Server__c"
"Total Processor % Processor Time (Red Hat Enterprise Linux Server 5)","_Total","2017-11-10T12:00:00Z","100","100","100","cls227","cls227","CPU Utilization","Baseline","cls227-CPU Utilization-_Total-Baseline","%","DUPLICATE_VALUE:Duplicate external id specified: cls227-cpu utilization-_total-baseline
Error fields: External_Key__c "
"Total Processor % Processor Time (SUSE Linux Enterprise Server 10)","_Total","2017-11-10T12:00:00Z","0","5.083333333","33","cls090","cls090","CPU Utilization","Baseline","cls090-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cls090 not found for field External_Id__c in entity SCOM_Server__c"
"Total Processor % Processor Time (Red Hat Enterprise Linux Server 5)","_Total","2017-11-10T12:00:00Z","13","14.22222222","23","cls057","cls057","CPU Utilization","Baseline","cls057-CPU Utilization-_Total-Baseline","%","DUPLICATE_VALUE:Duplicate external id specified: cls057-cpu utilization-_total-baseline
Error fields: External_Key__c "
"Total Processor % Processor Time (SUSE Linux Enterprise Server 11)","_Total","2017-11-10T12:00:00Z","1","9.5","64","cls3014","cls3014","CPU Utilization","Baseline","cls3014-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cls3014 not found for field External_Id__c in entity SCOM_Server__c"
