"RULEDEFAULTNAME","MONITORINSTANCE","TIME","MINVALUE","AVGVALUE","MAXVALUE","SERVER","SERVERID","METRIC","TYPE","EXTERNAL ID","UNIT","ERROR"
"Total Processor % Processor Time (Red Hat Enterprise Linux Server 5)","_Total","2017-11-10T12:00:00Z","17","21.83333333","38","cls306","cls306","CPU Utilization","Baseline","cls306-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cls306 not found for field External_Id__c in entity SCOM_Server__c"
"Total Processor % Processor Time (SUSE Linux Enterprise Server 11)","_Total","2017-11-10T12:00:00Z","2","12.41666667","72","cls3016","cls3016","CPU Utilization","Baseline","cls3016-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cls3016 not found for field External_Id__c in entity SCOM_Server__c"
"Total Processor % Processor Time (Red Hat Enterprise Linux Server 6)","_Total","2017-11-10T12:00:00Z","1","10","31","cls057","cls057","CPU Utilization","Baseline","cls057-CPU Utilization-_Total-Baseline","%","DUPLICATE_VALUE:Duplicate external id specified: cls057-cpu utilization-_total-baseline
Error fields: External_Key__c "
"Total Processor % Processor Time (SUSE Linux Enterprise Server 10)","_Total","2017-11-10T12:00:00Z","71","74.58333333","82","cls023","cls023","CPU Utilization","Baseline","cls023-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cls023 not found for field External_Id__c in entity SCOM_Server__c"
"Total Processor % Processor Time (SUSE Linux Enterprise Server 11)","_Total","2017-11-10T12:00:00Z","0","9.75","52","vsad3ci1","vsad3ci1","CPU Utilization","Baseline","vsad3ci1-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: vsad3ci1 not found for field External_Id__c in entity SCOM_Server__c"
"Used Memory MBytes (Red Hat Enterprise Linux Server 5)","_self","2017-11-10T12:00:00Z","2821","2914.833333","3124","cls167","cls167","Memory Utilization","Baseline","cls167-Memory Utilization-_self-Baseline","MB","DUPLICATE_VALUE:Duplicate external id specified: cls167-memory utilization-_self-baseline
Error fields: External_Key__c "
"Used Memory MBytes (Red Hat Enterprise Linux Server 5)","_self","2017-11-10T12:00:00Z","11661","12492.16667","23021","cls243","cls243","Memory Utilization","Baseline","cls243-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cls243 not found for field External_Id__c in entity SCOM_Server__c"
"Used Memory MBytes (Red Hat Enterprise Linux Server 6)","_self","2017-11-10T12:00:00Z","2172","2199.666667","2287","cls057","cls057","Memory Utilization","Baseline","cls057-Memory Utilization-_self-Baseline","MB","DUPLICATE_VALUE:Duplicate external id specified: cls057-memory utilization-_self-baseline
Error fields: External_Key__c "
"Used Memory MBytes (Red Hat Enterprise Linux Server 5)","_self","2017-11-10T12:00:00Z","2176","2188.25","2224","cls058","cls058","Memory Utilization","Baseline","cls058-Memory Utilization-_self-Baseline","MB","DUPLICATE_VALUE:Duplicate external id specified: cls058-memory utilization-_self-baseline
Error fields: External_Key__c "
"Used Memory MBytes (Red Hat Enterprise Linux Server 5)","_self","2017-11-10T12:00:00Z","3377","3437.916667","3660","cls306","cls306","Memory Utilization","Baseline","cls306-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cls306 not found for field External_Id__c in entity SCOM_Server__c"
"Used Memory MBytes (SUSE Linux Enterprise Server 10)","_self","2017-11-10T12:00:00Z","6147","6155.833333","7862","cls023","cls023","Memory Utilization","Baseline","cls023-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cls023 not found for field External_Id__c in entity SCOM_Server__c"
"Used Memory MBytes (SUSE Linux Enterprise Server 11)","_self","2017-11-10T12:00:00Z","19357","19399.27273","19558","cls3016","cls3016","Memory Utilization","Baseline","cls3016-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cls3016 not found for field External_Id__c in entity SCOM_Server__c"
"Used Memory MBytes (Red Hat Enterprise Linux Server 5)","_self","2017-11-10T12:00:00Z","3343","3408.5","3740","cls244","cls244","Memory Utilization","Baseline","cls244-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cls244 not found for field External_Id__c in entity SCOM_Server__c"
"Used Memory MBytes (Red Hat Enterprise Linux Server 6)","_self","2017-11-10T12:00:00Z","1708","1710.583333","1713","cls058","cls058","Memory Utilization","Baseline","cls058-Memory Utilization-_self-Baseline","MB","DUPLICATE_VALUE:Duplicate external id specified: cls058-memory utilization-_self-baseline
Error fields: External_Key__c "
"Used Memory MBytes (SUSE Linux Enterprise Server 10)","_self","2017-11-10T12:00:00Z","19397","19416","19513","cls090","cls090","Memory Utilization","Baseline","cls090-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cls090 not found for field External_Id__c in entity SCOM_Server__c"
"Used Memory MBytes (Red Hat Enterprise Linux Server 5)","_self","2017-11-10T12:00:00Z","7399","7408","7451","cls057","cls057","Memory Utilization","Baseline","cls057-Memory Utilization-_self-Baseline","MB","DUPLICATE_VALUE:Duplicate external id specified: cls057-memory utilization-_self-baseline
Error fields: External_Key__c "
"Used Memory MBytes (SUSE Linux Enterprise Server 11)","_self","2017-11-10T12:00:00Z","1987","1988.75","2095","vsad3ci1","vsad3ci1","Memory Utilization","Baseline","vsad3ci1-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: vsad3ci1 not found for field External_Id__c in entity SCOM_Server__c"
"Used Memory MBytes (Red Hat Enterprise Linux Server 6)","_self","2017-11-10T12:00:00Z","2917","2919","3521","cls167","cls167","Memory Utilization","Baseline","cls167-Memory Utilization-_self-Baseline","MB","DUPLICATE_VALUE:Duplicate external id specified: cls167-memory utilization-_self-baseline
Error fields: External_Key__c "
"Used Memory MBytes (SUSE Linux Enterprise Server 11)","_self","2017-11-10T12:00:00Z","26479","26504.66667","26593","cls320","cls320","Memory Utilization","Baseline","cls320-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cls320 not found for field External_Id__c in entity SCOM_Server__c"
"Used Memory MBytes (Red Hat Enterprise Linux Server 5)","_self","2017-11-10T12:00:00Z","9631","9789.416667","9971","cls245","cls245","Memory Utilization","Baseline","cls245-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cls245 not found for field External_Id__c in entity SCOM_Server__c"
"Used Memory MBytes (Red Hat Enterprise Linux Server 5)","_self","2017-11-10T12:00:00Z","2980","4591.416667","13250","cls250","cls250","Memory Utilization","Baseline","cls250-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cls250 not found for field External_Id__c in entity SCOM_Server__c"
"Used Memory MBytes (Red Hat Enterprise Linux Server 6)","_self","2017-11-10T12:00:00Z","1060","1149.25","1590","cls227","cls227","Memory Utilization","Baseline","cls227-Memory Utilization-_self-Baseline","MB","DUPLICATE_VALUE:Duplicate external id specified: cls227-memory utilization-_self-baseline
Error fields: External_Key__c "
"Used Memory MBytes (SUSE Linux Enterprise Server 11)","_self","2017-11-10T12:00:00Z","7476","7481.333333","7508","cls3014","cls3014","Memory Utilization","Baseline","cls3014-Memory Utilization-_self-Baseline","MB","INVALID_FIELD:Foreign key external ID: cls3014 not found for field External_Id__c in entity SCOM_Server__c"
"Used Memory MBytes (Red Hat Enterprise Linux Server 5)","_self","2017-11-10T12:00:00Z","1488","1490.555556","1492","cls227","cls227","Memory Utilization","Baseline","cls227-Memory Utilization-_self-Baseline","MB","DUPLICATE_VALUE:Duplicate external id specified: cls227-memory utilization-_self-baseline
Error fields: External_Key__c "
