"ID","WELL_LOCATION","SUM(TX.VOLUME)","STATUS"
"a8k16000000fzHIAAY","111062704826W300","2.096","Item Updated"
"a8k16000000fy8zAAA","131160504927W300","2.0928","Item Updated"
"a8k16000000fzySAAQ","111062305125W300","1.6","Item Updated"
"a8k16000000g0BPAAY","131033004926W302","0","Item Updated"
"a8k16000000fxy1AAA","141160404927W300","1.5976","Item Updated"
"a8k16000000fyLvAAI","111130505124W303","4","Item Updated"
"a8k16000000g0e2AAA","102142305003W400","0","Item Updated"
"a8k16000000fzkQAAQ","111031304626W303","2.09408","Item Updated"
"a8k16000000fycPAAQ","100082205406W400","1.6","Item Updated"
"a8k16000000fzTJAAY","111043004427W300","0","Item Updated"
"a8k16000000fzv0AAA","102102105405W400","2.10368","Item Updated"
"a8k16000000fxa9AAA","111031104922W303","2.1","Item Updated"
"a8k16000000fyuyAAA","100053105106W400","1.3968","Item Updated"
"a8k16000000g01iAAA","102102804701W400","2.8","Item Updated"
"a8k16000000fzxeAAA","100161304701W400","3.16968","Item Updated"
"a8k16000000fzuHAAQ","108033205207W400","2.1","Item Updated"
"a8k16000000g0Z2AAI","100060705306W400","4.0024","Item Updated"
"a8k16000000fzu8AAA","108023205207W400","2.4","Item Updated"
"a8k16000000fzuBAAQ","111023205207W400","2.001","Item Updated"
"a8k16000000fzu9AAA","109023205207W400","2.1","Item Updated"
"a8k16000000fzZNAAY","111151705019W300","2.57262","Item Updated"
"a8k16000000fyKCAAY","111080905022W302","2.39648","Item Updated"
"a8k16000000fycrAAA","107012504802W400","12.0608","Item Updated"
"a8k16000000g001AAA","131042504825W300","0","Item Updated"
"a8k16000000g0TEAAY","192151104828W300","2.77632","Item Updated"
"a8k16000000fzVLAAY","111110805019W300","2.57262","Item Updated"
"a8k16000000fzZMAAY","111141705019W300","2.57262","Item Updated"
"a8k16000000g0JYAAY","191051304427W300","2.1","Item Updated"
"a8k16000000g0ePAAQ","100050305402W400","2.1696","Item Updated"
"a8k16000000g0TDAAY","191151104828W300","3.14232","Item Updated"
"a8k16000000g0RZAAY","100100904504W400","2.0988","Item Updated"
"a8k16000000fxdPAAQ","191102404925W300","2.0952","Item Updated"
"a8k16000000fzv3AAA","100162105405W400","2.39888","Item Updated"
"a8k16000000fyjpAAA","100061005207W400","0","Item Updated"
"a8k16000000fzxcAAA","100101304701W400","2.09928","Item Updated"
"a8k16000000fyvZAAQ","100021105301W400","0","Item Updated"
"a8k16000000fyYsAAI","100092805104W400","1.4992","Item Updated"
"a8k16000000g0qkAAA","100101605405W402","2.4016","Item Updated"
"a8k16000000fymcAAA","102070305006W400","1.3768","Item Updated"
"a8k16000000g0SGAAY","111082504925W303","1.6","Item Updated"
"a8k16000000fylHAAQ","103151005207W400","2.4","Item Updated"
"a8k16000000fzuEAAQ","105033205207W400","2.1","Item Updated"
"a8k16000000fyGAAAY","191120305022W300","2.4","Item Updated"
"a8k16000000fytwAAA","1D0113105103W402","0","Item Updated"
"a8k16000000fyljAAA","100071505005W400","1.5992","Item Updated"
"a8k16000000g0TGAAY","191011304828W300","2.09328","Item Updated"
"a8k16000000fyybAAA","100010504902W400","2.1008","Item Updated"
"a8k16000000fyGrAAI","192040104928W300","1.49792","Item Updated"
"a8k16000000fyuoAAA","100130505106W400","0","Item Updated"
"a8k16000000fycxAAA","106022504802W400","12.0608","Item Updated"
"a8k16000000fyRLAAY","131022204925W302","2.09616","Item Updated"
"a8k16000000g1quAAA","193162204723W300","0.2","Item Updated"
"a8k16000000fyLYAAY","111062405125W304","1.396","Item Updated"
"a8k16000000g0eSAAQ","100130305402W400","2.39584","Item Updated"
"a8k16000000fxg6AAA","191033304924W300","1.2568","Item Updated"
"a8k16000000g1rnAAA","191031404927W300","4","Item Updated"
"a8k16000000fxg7AAA","191043304924W300","2.0968","Item Updated"
"a8k16000000g1rvAAA","112063504924W302","0","Item Updated"
"a8k16000000g0ARAAY","111053404826W300","1.59936","Item Updated"
"a8k16000000g12GAAQ","141121704722W302","3.2","Item Updated"
"a8k16000000fynCAAQ","100080405201W400","3.98944","Item Updated"
"a8k16000000g0vEAAQ","111013304924W300","3.2","Item Updated"
"a8k16000000fxlaAAA","131120505025W300","2.09504","Item Updated"
"a8k16000000g1AZAAY","102143204802W400","2.4008","Item Updated"
"a8k16000000g1qNAAQ","102143505005W400","0","Item Updated"
"a8k16000000g1mjAAA","191012505123W300","2.09504","Item Updated"
"a8k16000000g1LbAAI","100093304802W402","1.3944","Item Updated"
"a8k16000000g0jdAAA","112100904825W300","2.39872","Item Updated"
"a8k16000000g1oVAAQ","100153204802W400","2.1008","Item Updated"
"a8k16000000fyNrAAI","141131304925W302","2.3","Item Updated"
"a8k16000000g1vDAAQ","102013404802W404","2.0992","Item Updated"
"a8k16000000g1W6AAI","100152305006W400","2.1032","Item Updated"
"a8k16000000fzweAAA","100023104605W400","0","Item Updated"
"a8k16000000fxxBAAQ","111041704922W300","2.09992","Item Updated"
"a8k16000000g1tXAAQ","111160605223W300","1.6","Item Updated"
"a8k16000000g1LSAAY","100012205301W400","2.09504","Item Updated"
"a8k16000000g1xAAAQ","100121305302W400","2.39952","Item Updated"
"a8k16000000g1uuAAA","100051305302W400","2.9877","Item Updated"
"a8k16000000g004AAA","131062504825W300","0","Item Updated"
"a8k16000000g20nAAA","104062504701W400","2.09584","Item Updated"
"a8k16000000fz5zAAA","112072404920W300","1.4","Item Updated"
"a8k16000000g1sYAAQ","111120705127W302","2.09424","Item Updated"
"a8k16000000g1qDAAQ","100040905305W400","2.8048","Item Updated"
"a8k16000000g1mSAAQ","100060505405W400","2.4032","Item Updated"
"a8k16000000g1r2AAA","111082305022W300","2.09512","Item Updated"
"a8k16000000fz0jAAA","111033405021W302","2.8","Item Updated"
"a8k16000000fxU5AAI","111080104828W300","1.3944","Item Updated"
"a8k16000000fzAZAAY","111062204426W300","0","Item Updated"
"a8k16000000g1ipAAA","191130305227W300","2.1","Item Updated"
"a8k16000000g1eJAAQ","112020305022W303","2.3968","Item Updated"
"a8k16000000fzwiAAA","100063104605W400","2.08584","Item Updated"
"a8k16000000g0eOAAQ","100040305402W400","2.0976","Item Updated"
"a8k16000000g1I6AAI","121020105122W300","0.7","Item Updated"
"a8k16000000g1u5AAA","104072504701W400","2.0968","Item Updated"
"a8k1L000000KyndQAC","111012405123W300","2.0952","Item Updated"
"a8k1L000000KynKQAS","192152405123W300","2.1","Item Updated"
"a8k16000000g1DVAAY","100053005001W402","3.1936","Item Updated"
"a8k16000000g1qZAAQ","111091704627W303","2.1","Item Updated"
"a8k16000000g1zoAAA","111050504823W303","2.79888","Item Updated"
"a8k16000000g1zkAAA","191040604823W300","0","Item Updated"
"a8k16000000g1ytAAA","122152804824W302","0","Item Updated"
"a8k16000000g1xxAAA","111040105123W303","0","Item Updated"
"a8k16000000g1y7AAA","111013005125W302","2.1","Item Updated"
"a8k16000000g1y2AAA","111102405126W300","2.1","Item Updated"
"a8k16000000g1CqAAI","101071204924W300","2.0968","Item Updated"
"a8k16000000g12iAAA","131021704923W300","2.79872","Item Updated"
"a8k1L000000KynIQAS","192162405123W300","2.09904","Item Updated"
"a8k16000000g10yAAA","111021404924W300","2.09904","Item Updated"
"a8k16000000g1r6AAA","111072504925W303","2.09904","Item Updated"
"a8k16000000g13wAAA","100103105306W400","3.2048","Item Updated"
"a8k16000000g141AAA","111110605223W302","0","Item Updated"
"a8k16000000g1GBAAY","111122305126W302","2.8032","Item Updated"
"a8k16000000g14MAAQ","100102404903W402","2.0992","Item Updated"
"a8k16000000g1CnAAI","191013105122W300","2.3936","Item Updated"
"a8k16000000bm9hAAA","111100704525W302","0","Item Updated"
"a8k16000000g1HDAAY","142022504828W302","2.0952","Item Updated"
"a8k1L000000KynHQAS","191043005122W300","2.1","Item Updated"
