"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","TRUCKED_OIL","MTD_DATE","STATUS"
"a8k16000000fzvZAAQ","1D0110904506W400","N","0.12027","0.7227272727272727272727272727272727272727","09-MAY-18","Item Updated"
"a8k16000000g0bYAAQ","1B0151704506W400","N","0.113","0","09-MAY-18","Item Updated"
"a8k16000000fzwzAAA","100151804606W400","N","0.01227","1.15454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000g0EzAAI","1D0142704506W400","N","0.02974","1.8","09-MAY-18","Item Updated"
"a8k16000000g0aJAAQ","1B0133204506W400","N","0.00908","1.64","09-MAY-18","Item Updated"
"a8k16000000fzvOAAQ","1D0073204506W400","N","0.02011","0.2509090909090909090909090909090909090909","09-MAY-18","Item Updated"
"a8k16000000fzFDAAY","100113104606W400","N","0","0","09-MAY-18","Item Updated"
"a8k16000000fzBzAAI","1A0071104606W402","N","0","0","09-MAY-18","Item Updated"
"a8k16000000fzltAAA","122110105024W300","N","0.08316","0","09-MAY-18","Item Updated"
"a8k16000000fzljAAA","19C070105024W300","N","0.023","0","09-MAY-18","Item Updated"
"a8k16000000fz3NAAQ","192143305223W300","N","0.03627","0","09-MAY-18","Item Updated"
"a8k16000000fz7TAAQ","192090605323W300","N","0.03627","0","09-MAY-18","Item Updated"
"a8k16000000g0sFAAQ","100041104604W400","N","0","0","08-MAY-18","Item Updated"
"a8k16000000fzAUAAY","111112104426W300","N","0.12963","0","09-MAY-18","Item Updated"
"a8k16000000g0QyAAI","100061904401W400","N","0.0023","0","09-MAY-18","Item Updated"
"a8k16000000fz3iAAA","193163104923W300","N","0.023","0","09-MAY-18","Item Updated"
"a8k16000000fy3NAAQ","193012304723W300","N","0.28875","0","09-MAY-18","Item Updated"
"a8k16000000g1IwAAI","192133604927W300","N","0","1.65454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000g1OiAAI","192010704722W300","N","0.01202","2.54181818181818181818181818181818181818","09-MAY-18","Item Updated"
"a8k16000000fxegAAA","121101004924W300","N","0","0","09-MAY-18","Item Updated"
"a8k16000000fyzqAAA","100110904406W400","N","0","0","09-MAY-18","Item Updated"
"a8k16000000fxVPAAY","192140504819W300","N","0.0116","83.22727272727272727272727272727272727273","09-MAY-18","Item Updated"
"a8k16000000g23DAAQ","100032407923W400","N","0","0","09-MAY-18","Item Updated"
"a8k16000000g194AAA","102023007319W400","N","0.17573","9.28454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000g23kAAA","100111407825W400","N","0.14141","0","09-MAY-18","Item Updated"
"a8k16000000g27eAAA","102070207825W400","N","0.28909","1.02727272727272727272727272727272727273","09-MAY-18","Item Updated"
"a8k16000000fxVhAAI","195110704819W300","N","0.0116","88.45818181818181818181818181818181818182","09-MAY-18","Item Updated"
"a8k16000000g24uAAA","102090307825W400","N","0.10012","2.45636363636363636363636363636363636364","09-MAY-18","Item Updated"
"a8k16000000g258AAA","100081007825W400","N","1.08857","0.1209090909090909090909090909090909090909","09-MAY-18","Item Updated"
"a8k16000000g25OAAQ","100033507725W400","N","0.23002","0.4727272727272727272727272727272727272727","09-MAY-18","Item Updated"
"a8k16000000g28tAAA","191022104028W300","N","0.09375","0.2454545454545454545454545454545454545455","07-MAY-18","Item Updated"
"a8k16000000g0xzAAA","193020104723W300","N","0","0.7218181818181818181818181818181818181818","09-MAY-18","Item Updated"
"a8k16000000g23bAAA","100092407825W400","N","0","0","09-MAY-18","Item Updated"
"a8k16000000g13pAAA","196140604923W300","N","0.01933","0","09-MAY-18","Item Updated"
"a8k16000000g01MAAQ","1C0081904704W400","N","0.08031","0.3345454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000g0UyAAI","1D0053004704W400","N","0.08039","1.79545454545454545454545454545454545455","09-MAY-18","Item Updated"
"a8k16000000g0sBAAQ","100110904604W400","N","0","0","09-MAY-18","Item Updated"
"a8k16000000g07MAAQ","100021904704W400","N","0.08038","0.9063636363636363636363636363636363636364","09-MAY-18","Item Updated"
"a8k16000000g0mUAAQ","1B0152004506W400","N","0.1407","0.5290909090909090909090909090909090909091","09-MAY-18","Item Updated"
"a8k16000000g0rhAAA","1B0152104506W400","N","0.0509","0.6145454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000fzBiAAI","195020105024W300","N","0.023","24.84","09-MAY-18","Item Updated"
"a8k16000000fzNiAAI","193160105024W300","N","0.023","0","09-MAY-18","Item Updated"
"a8k16000000fzTyAAI","194070605023W300","N","0.023","0","09-MAY-18","Item Updated"
"a8k16000000fziVAAQ","19G060105024W300","N","0.023","0","09-MAY-18","Item Updated"
"a8k16000000fz39AAA","197043305223W300","N","0.03905","3.12727272727272727272727272727272727273","09-MAY-18","Item Updated"
"a8k16000000fzBjAAI","191030105024W300","N","0.023","0","09-MAY-18","Item Updated"
"a8k16000000g0KOAAY","100043004604W400","N","0","0","08-MAY-18","Item Updated"
"a8k16000000fzNUAAY","132081705223W300","N","0.03905","6.83454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000g0M5AAI","111061604427W300","N","0.008","0","09-MAY-18","Item Updated"
"a8k16000000fzB2AAI","191030705323W300","N","0.03905","2.90454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000fy3GAAQ","193091304723W300","N","0.37","2.80545454545454545454545454545454545455","09-MAY-18","Item Updated"
"a8k16000000g1CIAAY","195011204924W300","N","0.01933","0","09-MAY-18","Item Updated"
"a8k16000000g0uoAAA","197130104819W300","N","0.0095","74.66818181818181818181818181818181818182","09-MAY-18","Item Updated"
"a8k16000000g17lAAA","100102507321W400","N","0","0","09-MAY-18","Item Updated"
"a8k16000000g1GlAAI","194092504927W300","N","0","5.10454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000fxVkAAI","198110704819W300","N","0","0","09-MAY-18","Item Updated"
"a8k16000000g29KAAQ","195041504028W300","N","0","0.4181818181818181818181818181818181818182","07-MAY-18","Item Updated"
"a8k16000000g27rAAA","102060207825W400","N","0.47759","0.9036363636363636363636363636363636363636","09-MAY-18","Item Updated"
"a8k16000000bm6bAAA","193102104028W300","N","0.01869","1.25545454545454545454545454545454545455","07-MAY-18","Item Updated"
"a8k16000000fy6YAAQ","196130105027W300","N","0","2.20363636363636363636363636363636363636","09-MAY-18","Item Updated"
"a8k1L000000KykVQAS","101101605223W300","N","0","0","09-MAY-18","Item Updated"
"a8k16000000g0V2AAI","1C0073004704W400","N","0.08039","1.61545454545454545454545454545454545455","09-MAY-18","Item Updated"
"a8k16000000g0nDAAQ","100110104604W400","N","0","0","09-MAY-18","Item Updated"
"a8k16000000g0MwAAI","1D0082104506W400","N","0.01269","1.18636363636363636363636363636363636364","09-MAY-18","Item Updated"
"a8k16000000g0rVAAQ","100071804704W400","N","0","0","09-MAY-18","Item Updated"
"a8k16000000g0KbAAI","102083404707W400","N","0","0","09-MAY-18","Item Updated"
"a8k16000000g0mtAAA","1B0072904506W400","N","0.03077","0.5936363636363636363636363636363636363636","09-MAY-18","Item Updated"
"a8k16000000g0DUAAY","1D0032704506W400","N","0.04054","1.13818181818181818181818181818181818182","09-MAY-18","Item Updated"
"a8k16000000fzC4AAI","100111504606W400","N","0","0","09-MAY-18","Item Updated"
"a8k16000000fzUBAAY","193090605023W300","N","0.023","0","09-MAY-18","Item Updated"
"a8k16000000g0ImAAI","141062705126W302","N","0","0","09-MAY-18","Item Updated"
"a8k16000000fzeoAAA","122120605023W300","N","0.023","0.7945454545454545454545454545454545454545","09-MAY-18","Item Updated"
"a8k16000000fzlpAAA","191090105024W300","N","0.023","0","09-MAY-18","Item Updated"
"a8k16000000fzexAAA","196120605023W300","N","0.023","0","09-MAY-18","Item Updated"
"a8k16000000fz3MAAQ","191143305223W300","N","0.03905","3.95818181818181818181818181818181818182","09-MAY-18","Item Updated"
"a8k16000000fzB7AAI","196030705323W300","N","0.03627","0","09-MAY-18","Item Updated"
"a8k16000000g0lzAAA","100042904906W400","N","0.13733","0.9109090909090909090909090909090909090909","09-MAY-18","Item Updated"
"a8k16000000g0UdAAI","102162404402W400","N","0.00733","0.0954545454545454545454545454545454545455","09-MAY-18","Item Updated"
"a8k16000000fyeaAAA","105092504802W400","N","0.0423","0","09-MAY-18","Item Updated"
