"ID","U_APPLICATION","EXTERNAL_ID","NAME","USED_FOR","HOST_NAME","MANUFACTURER","MODEL_ID","OS","OS_VERSION","SHORT_DESCRIPTION","SYS_CLASS_NAME","SYS_CREATED_ON","SYS_CREATED_BY","U_CMDB_CRITICALITY","STATUS"
"a8m6300000003KUAAY","Jason","CGWBTL535PD","CGWBTL535PD","Production","CGWBTL535PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise","6.1.7601","Jason applicaiton Bitlock Server","Windows Server","2013-12-09 13:03","mid_husky","(1) Non-Critical","Item Updated"
"a8m6300000003K3AAI","AVEVA Engineering","CGWBTL706PD","CGWBTL706PD","Production","CGWBTL706PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","Aveva E3D License Server - We do not have access to this server.  Gurmeet has access to this server. ","Windows Server","2014-08-12 13:23","mid_husky","(2) Productivity Important","Item Updated"
"a8m6300000003MXAAY","Ansys, PVTsim (Western Canada)","CGWBTL788PD","CGWBTL788PD","Production","CGWBTL788PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","CGWBTL788PD - ANSYS/PVTsim Server","Windows Server","2014-10-28 10:01","mid_husky","(2) Productivity Important","Item Updated"
"a8m630000000388AAA","OMNI, VISTA","CGWBTL789PD","CGWBTL789PD","Production","CGWBTL789PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","Omni Vista license server","Windows Server","2014-10-28 16:16","mid_husky","(2) Productivity Important","Item Updated"
"a8m6300000003IIAAY","PC Pump, WellFlo, PIPEFLO","CGWBTL814PD","CGWBTL814PD","Production","CGWBTL814PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","CGWBTL814PD - PC-Pump and Neotec Pipeflo/Wellfo with FlashVMG option","Windows Server","2014-12-04 14:24","mid_husky","(2) Productivity Important","Item Updated"
"a8m63000000039XAAQ","Oasis Montaj","CGWBTL819PD","CGWBTL819PD","Production","CGWBTL819PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","Oasis Montaj License server","Windows Server","2015-01-06 16:39","hashmm","(3) Business Important","Item Updated"
"a8m63000000038mAAA","Caesar II","CGWBTL844PD","CGWBTL844PD","Production","CGWBTL844PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","Caesar II 2013 R1 License server","Windows Server","2015-02-04 12:54","mid_husky","(2) Productivity Important","Item Updated"
"a8m6300000003DRAAY","CADWorx","CGWBTL849PD","CGWBTL849PD","Production","cgwbtl849pd","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","CADWorx License server.","Windows Server","2015-02-11 11:27","mid_husky","(1) Non-Critical","Item Updated"
"a8m6300000003MmAAI","DesignRite, Fekete Harmony (FAST DeclinePlus + FAST RTA + FAST Virtuwell)","CGWBTL852PD","CGWBTL852PD","Production","CGWBTL852PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600"," IHS (Fekete Applications)  and DesignRite License Server","Windows Server","2015-02-12 16:43","mid_husky","(2) Productivity Important","Item Updated"
"a8m6300000003D4AAI","Petrel Studio, Petrel Desktop Client","CGWBTL911PD","CGWBTL911PD","Production","CGWBTL911PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","Peteel License server","Windows Server","2015-03-09 14:24","mid_husky","(4) Business Critical","Item Updated"
